iterationName,wID,aID,origText,rt,response,tangram,targetAudience,uttLengthWords,trial_index,time_elapsed,gameId,playerId,trial_type
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,"Looks like a man sitting sideways to the left, with his head slightly tilted forward",1452.504999935627,100,F,otherGroup,15,10,64703,wjwzCZqktezhoNwdn,SPX8pNAPj7f8RxfDg,html-slider-response
comprehension,5e886683524dca4f1853e20c,600d335a9cf6444a77ab3b49,"both arms to the left, standing on their knees",5753.04999994114,D,D,otherGroup,9,19,84950,Ko3v7THD2dqefyTAx,E5uTCaEvboyi9W2jE,html-button-response
comprehension,5e886683524dca4f1853e20c,600d335a9cf6444a77ab3b49,"both arms to the left, standing on their knees",1557.645000051707,80,D,otherGroup,9,20,86511,Ko3v7THD2dqefyTAx,E5uTCaEvboyi9W2jE,html-slider-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,"two triangles (or bunny ears) on top, one big triangle beneath",6398.0200000005425,E,E,ownGroup,11,15,97417,WYftRDkmrSjsHDx7x,dFXiFC9fEvXXFFqA9,html-button-response
comprehension,5f5bd68e85780739e6d82a32,600d334bf495d4400f2dbe9c,man with the one leg up carrying a flag,10724.999999976717,100,A,otherGroup,9,4,78025,JP4KRrdASPaZ6Yooo,k6aatfn6D3cGqmLKj,html-slider-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,"two triangles (or bunny ears) on top, one big triangle beneath",2192.1849999998813,100,E,ownGroup,11,16,99611,WYftRDkmrSjsHDx7x,dFXiFC9fEvXXFFqA9,html-slider-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,"looks like a person stood on one leg with the other leg out in front of them, also has a diamond shape on their back like they are carrying something.",8521.040000021458,A,A,otherGroup,31,11,73227,fbBEYS2xBiuER4yog,9uGM2BcYH4hk2uSzX,html-button-response
comprehension,5ec5859b9bbabe5a62150be9,600d336fbeaa41294d22215a,"looks like a person stood on one leg with the other leg out in front of them, also has a diamond shape on their back like they are carrying something.",2361.105000018142,100,A,otherGroup,31,12,75591,fbBEYS2xBiuER4yog,9uGM2BcYH4hk2uSzX,html-slider-response
comprehension,5e37fee32d2961000b0eacb7,600d3375ee4abe4f976c4cf7,Human looking on the right side,21161.364999949,F,E,otherGroup,6,7,73696,9wpj9KkiFEADFNfx8,seW6HvhD9zC4ToSZy,html-button-response
comprehension,5ef0b80c783eb301cab78d7f,600d334e8f1fb84f0f053f96,man standing with the hands in the front horizontially,8513.695000001462,D,D,otherGroup,9,17,108127,JP4KRrdASPaZ6Yooo,k6aatfn6D3cGqmLKj,html-button-response
