model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,trialNum,                  condition,partnerID,partner,val
model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon,trialNum,                  condition,agentID,object,word,val
M1,5,5,0.9,0.01,1,1,partner1,group1,0.42480000000000007
M1,5,5,0.9,0.01,1,1,partner1,group2,0.5751999999999999
M1,5,5,0.9,0.01,1,1,partner2,group2,0.5408000000000001
M1,5,5,0.9,0.01,1,1,partner2,group1,0.4592
M1,5,5,0.9,0.01,1,1,partner3,group1,0.518
M1,5,5,0.9,0.01,1,1,partner3,group2,0.48200000000000004
M1,5,5,0.9,0.01,1,1,partner4,group2,0.506
M1,5,5,0.9,0.01,1,1,partner4,group1,0.49399999999999994
M1,5,5,0.9,0.01,1,1,partner5,group1,0.5364
M1,5,5,0.9,0.01,1,1,partner5,group2,0.46360000000000007
M1,5,5,0.9,0.01,2,1,partner1,group1,0.5583999999999999
M1,5,5,0.9,0.01,2,1,partner1,group2,0.44160000000000005
M1,5,5,0.9,0.01,2,1,partner2,group1,0.582
M1,5,5,0.9,0.01,2,1,partner2,group2,0.41800000000000004
M1,5,5,0.9,0.01,2,1,partner3,group2,0.5559999999999999
M1,5,5,0.9,0.01,2,1,partner3,group1,0.44400000000000006
M1,5,5,0.9,0.01,2,1,partner4,group1,0.5095999999999999
M1,5,5,0.9,0.01,2,1,partner4,group2,0.49040000000000006
M1,5,5,0.9,0.01,2,1,partner5,group2,0.4808000000000001
M1,5,5,0.9,0.01,2,1,partner5,group1,0.5191999999999999
M1,5,5,0.9,0.01,3,1,partner1,group2,0.5232000000000001
M1,5,5,0.9,0.01,3,1,partner1,group1,0.4767999999999999
M1,5,5,0.9,0.01,3,1,partner2,group2,0.5619999999999999
M1,5,5,0.9,0.01,3,1,partner2,group1,0.438
M1,5,5,0.9,0.01,3,1,partner3,group1,0.5467999999999998
M1,5,5,0.9,0.01,3,1,partner3,group2,0.4532000000000001
M1,5,5,0.9,0.01,3,1,partner4,group2,0.5296
M1,5,5,0.9,0.01,3,1,partner4,group1,0.47039999999999993
M1,5,5,0.9,0.01,3,1,partner5,group1,0.5531999999999999
M1,5,5,0.9,0.01,3,1,partner5,group2,0.4468000000000001
M1,5,5,0.9,0.01,4,1,partner1,group2,0.47439999999999993
M1,5,5,0.9,0.01,4,1,partner1,group1,0.5256000000000001
M1,5,5,0.9,0.01,4,1,partner2,group2,0.5756
M1,5,5,0.9,0.01,4,1,partner2,group1,0.4244
M1,5,5,0.9,0.01,4,1,partner3,group2,0.40959999999999996
M1,5,5,0.9,0.01,4,1,partner3,group1,0.5904
M1,5,5,0.9,0.01,4,1,partner4,group1,0.5359999999999999
M1,5,5,0.9,0.01,4,1,partner4,group2,0.464
M1,5,5,0.9,0.01,4,1,partner5,group1,0.5164000000000001
M1,5,5,0.9,0.01,4,1,partner5,group2,0.48359999999999986
M1,5,5,0.9,0.01,5,2,partner1,group1,0.5619999999999998
M1,5,5,0.9,0.01,5,2,partner1,group2,0.43800000000000017
M1,5,5,0.9,0.01,5,2,partner2,group2,0.5159999999999999
M1,5,5,0.9,0.01,5,2,partner2,group1,0.4840000000000001
M1,5,5,0.9,0.01,5,2,partner3,group1,0.4976000000000001
M1,5,5,0.9,0.01,5,2,partner3,group2,0.5023999999999998
M1,5,5,0.9,0.01,5,2,partner4,group1,0.46879999999999983
M1,5,5,0.9,0.01,5,2,partner4,group2,0.5312000000000002
M1,5,5,0.9,0.01,5,2,partner5,group2,0.4747999999999999
M1,5,5,0.9,0.01,5,2,partner5,group1,0.5252
M1,5,5,0.9,0.01,6,2,partner1,group1,0.5028000000000001
M1,5,5,0.9,0.01,6,2,partner1,group2,0.4972
M1,5,5,0.9,0.01,6,2,partner2,group1,0.40319999999999995
M1,5,5,0.9,0.01,6,2,partner2,group2,0.5968
M1,5,5,0.9,0.01,6,2,partner3,group1,0.5356000000000001
