model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner2,group2,0.4955000000000002
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner2,group1,0.5044999999999997
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner3,group1,0.5131250000000003
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner3,group2,0.4868749999999998
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner4,group2,0.45262499999999994
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner4,group1,0.5473750000000001
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner2,group1,0.5320000000000003
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner2,group2,0.4679999999999998
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner3,group1,0.4898750000000001
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner3,group2,0.5101249999999999
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner4,group2,0.4635
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner4,group1,0.5365
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner2,group1,0.49600000000000005
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner2,group2,0.5039999999999999
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner3,group1,0.4897500000000006
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner3,group2,0.5102499999999995
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner4,group2,0.46799999999999997
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner4,group1,0.532
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner2,group1,0.4746250000000003
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner2,group2,0.5253749999999998
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner3,group2,0.49362500000000026
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner3,group1,0.5063749999999998
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner4,group1,0.5416250000000006
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner4,group2,0.4583749999999994
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner2,group1,0.48637499999999995
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner2,group2,0.513625
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner3,group1,0.5028750000000003
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner3,group2,0.49712499999999976
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner4,group2,0.5229999999999996
FlexibleListener,5,5,0.9,0.01,0,5,1,5,partner4,group1,0.47700000000000053
