model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
Speaker,5,5,0.9,0.01,99,1,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group1,0.50041875
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group2,0.49958125
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group1,0.50275875
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group2,0.49724125
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group1,0.49800625
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group2,0.50199375
Speaker,5,5,0.9,0.01,99,2,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group1,0.5005
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group2,0.4995
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group1,0.4949175
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group2,0.5050825
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group1,0.5003375
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group2,0.4996625
Speaker,5,5,0.9,0.01,99,3,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group1,0.4924075
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group2,0.5075925
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group1,0.500945
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group2,0.499055
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group1,0.49475
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group2,0.50525
Speaker,5,5,0.9,0.01,99,4,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group1,0.49783625
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group2,0.50216375
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group1,0.4975825
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group2,0.5024175
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group1,0.49176
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group2,0.50824
Speaker,5,5,0.9,0.01,99,5,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group1,0.49686
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group2,0.50314
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group1,0.4976875
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group2,0.5023125
Speaker,5,5,0.9,0.01,99,5,5,1,partner4,group1,0.50598375
Speaker,5,5,0.9,0.01,99,5,5,1,partner4,group2,0.49401625
Speaker,5,5,0.9,0.01,99,6,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,6,5,1,partner2,group1,0.49680875
Speaker,5,5,0.9,0.01,99,6,5,1,partner2,group2,0.50319125
Speaker,5,5,0.9,0.01,99,6,5,1,partner3,group1,0.5128475
Speaker,5,5,0.9,0.01,99,6,5,1,partner3,group2,0.4871525
Speaker,5,5,0.9,0.01,99,6,5,1,partner4,group1,0.4970425
Speaker,5,5,0.9,0.01,99,6,5,1,partner4,group2,0.5029575
Speaker,5,5,0.9,0.01,99,7,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,7,5,2,partner2,group1,0.50169875
Speaker,5,5,0.9,0.01,99,7,5,2,partner2,group2,0.49830125
Speaker,5,5,0.9,0.01,99,7,5,2,partner3,group1,0.4940075
Speaker,5,5,0.9,0.01,99,7,5,2,partner3,group2,0.5059925
Speaker,5,5,0.9,0.01,99,7,5,2,partner4,group1,0.50112625
Speaker,5,5,0.9,0.01,99,7,5,2,partner4,group2,0.49887375
Speaker,5,5,0.9,0.01,99,8,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,8,5,2,partner2,group1,0.15265375
Speaker,5,5,0.9,0.01,99,8,5,2,partner2,group2,0.84734625
Speaker,5,5,0.9,0.01,99,8,5,2,partner3,group1,0.5003725
Speaker,5,5,0.9,0.01,99,8,5,2,partner3,group2,0.4996275
Speaker,5,5,0.9,0.01,99,8,5,2,partner4,group1,0.50754875
Speaker,5,5,0.9,0.01,99,8,5,2,partner4,group2,0.49245125
Speaker,5,5,0.9,0.01,99,9,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,9,5,2,partner2,group1,0.14505375
Speaker,5,5,0.9,0.01,99,9,5,2,partner2,group2,0.85494625
Speaker,5,5,0.9,0.01,99,9,5,2,partner3,group1,0.50217125
Speaker,5,5,0.9,0.01,99,9,5,2,partner3,group2,0.49782875
Speaker,5,5,0.9,0.01,99,9,5,2,partner4,group1,0.49601375
Speaker,5,5,0.9,0.01,99,9,5,2,partner4,group2,0.50398625
Speaker,5,5,0.9,0.01,99,10,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,10,5,2,partner2,group1,0.0300475
Speaker,5,5,0.9,0.01,99,10,5,2,partner2,group2,0.9699525
Speaker,5,5,0.9,0.01,99,10,5,2,partner3,group1,0.50251375
Speaker,5,5,0.9,0.01,99,10,5,2,partner3,group2,0.49748625
Speaker,5,5,0.9,0.01,99,10,5,2,partner4,group1,0.50097125
Speaker,5,5,0.9,0.01,99,10,5,2,partner4,group2,0.49902875
Speaker,5,5,0.9,0.01,99,11,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,11,5,2,partner2,group1,0.030045
Speaker,5,5,0.9,0.01,99,11,5,2,partner2,group2,0.969955
Speaker,5,5,0.9,0.01,99,11,5,2,partner3,group1,0.49940375
Speaker,5,5,0.9,0.01,99,11,5,2,partner3,group2,0.50059625
