model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,0,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,1,1,partner2,group2,0.48712499999999975
Listener,5,5,0.9,0.01,0,1,1,partner2,group1,0.5128750000000002
Listener,5,5,0.9,0.01,0,1,1,partner3,group2,0.49862499999999976
Listener,5,5,0.9,0.01,0,1,1,partner3,group1,0.5013750000000002
Listener,5,5,0.9,0.01,0,1,1,partner4,group1,0.4976249999999998
Listener,5,5,0.9,0.01,0,1,1,partner4,group2,0.5023750000000001
Listener,5,5,0.9,0.01,0,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,2,1,partner2,group2,0.5115
Listener,5,5,0.9,0.01,0,2,1,partner2,group1,0.48850000000000005
Listener,5,5,0.9,0.01,0,2,1,partner3,group1,0.5301249999999997
Listener,5,5,0.9,0.01,0,2,1,partner3,group2,0.46987500000000015
Listener,5,5,0.9,0.01,0,2,1,partner4,group1,0.4945000000000001
Listener,5,5,0.9,0.01,0,2,1,partner4,group2,0.5055
Listener,5,5,0.9,0.01,0,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,3,1,partner2,group2,0.523625
Listener,5,5,0.9,0.01,0,3,1,partner2,group1,0.47637500000000005
Listener,5,5,0.9,0.01,0,3,1,partner3,group1,0.49887500000000046
Listener,5,5,0.9,0.01,0,3,1,partner3,group2,0.5011249999999996
Listener,5,5,0.9,0.01,0,3,1,partner4,group1,0.48737500000000006
Listener,5,5,0.9,0.01,0,3,1,partner4,group2,0.512625
Listener,5,5,0.9,0.01,0,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,4,1,partner2,group2,0.5186249999999999
Listener,5,5,0.9,0.01,0,4,1,partner2,group1,0.4813750000000001
Listener,5,5,0.9,0.01,0,4,1,partner3,group1,0.49512499999999987
Listener,5,5,0.9,0.01,0,4,1,partner3,group2,0.5048750000000002
Listener,5,5,0.9,0.01,0,4,1,partner4,group1,0.49487499999999995
Listener,5,5,0.9,0.01,0,4,1,partner4,group2,0.505125
Listener,5,5,0.9,0.01,0,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,5,1,partner2,group2,0.4807500000000006
Listener,5,5,0.9,0.01,0,5,1,partner2,group1,0.5192499999999993
Listener,5,5,0.9,0.01,0,5,1,partner3,group1,0.5107499999999998
Listener,5,5,0.9,0.01,0,5,1,partner3,group2,0.48925000000000013
Listener,5,5,0.9,0.01,0,5,1,partner4,group2,0.4920000000000004
Listener,5,5,0.9,0.01,0,5,1,partner4,group1,0.5079999999999997
Listener,5,5,0.9,0.01,0,6,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,6,1,partner2,group1,0.47175000000000017
Listener,5,5,0.9,0.01,0,6,1,partner2,group2,0.5282499999999999
Listener,5,5,0.9,0.01,0,6,1,partner3,group1,0.4675000000000004
Listener,5,5,0.9,0.01,0,6,1,partner3,group2,0.5324999999999996
Listener,5,5,0.9,0.01,0,6,1,partner4,group2,0.46387499999999987
Listener,5,5,0.9,0.01,0,6,1,partner4,group1,0.5361250000000002
Listener,5,5,0.9,0.01,0,7,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,7,2,partner2,group2,0.49887500000000046
