model,speakerID,intendedAudience,chainNum,alpha,costWeight,word1word2_score,word1_score,word2_score
community,1,own,101,12,7,0.028612475804025806,5.7400390872359113e-11,0.00035358963908433744
community,1,other,101,12,7,0.9998720746218541,0.0000033670181075619605,0.0001245583600349116
community,2,own,101,12,7,9.041483272201089e-13,3.5988589484539297e-19,1.8912827360869195e-15
community,2,other,101,12,7,0.9996483540822043,0.0001810932843636448,0.00017055113151566423
community,3,own,101,12,7,0.9970867808645583,0.00006803336502268176,0.002845185770420574
community,3,other,101,12,7,0.9425222117106634,5.976147282833696e-8,0.05747772852786264
community,4,own,101,12,7,0.2272156845307733,5.023815682483493e-12,0.7727843154641958
community,4,other,101,12,7,0.9984237326810018,6.653150312617746e-7,0.0015756020039696457
community,1,own,10,12,7,0.000009385272403743231,3.231330062702766e-25,0.9999906147275962
community,1,other,10,12,7,0.0019049802572732133,7.033509391484696e-16,0.9980950197427243
community,2,own,10,12,7,0.00025240436234420403,7.668128487426738e-21,0.9997475956376563
community,2,other,10,12,7,0.03557445432665123,3.429074923670533e-13,0.9644255456730071
community,3,own,10,12,7,0.12477981489019183,1.732868990149819e-11,0.8752201850924801
community,3,other,10,12,7,0.3239298976991655,5.276312532192404e-9,0.6760700970245194
community,4,own,10,12,7,0.2529052499778585,4.6673169854347604e-9,0.7470947453548232
community,4,other,10,12,7,0.9627732615743724,6.595575731024567e-8,0.03722667246986852
community,1,own,111,12,7,0.1273453375843272,5.49208670630992e-11,0.8726546623607552
community,1,other,111,12,7,0.9241574299698079,0.0000014268609110019239,0.07584114316928219
community,2,own,111,12,7,0.004083036521053576,6.759095071873049e-8,0.9959168958864294
community,2,other,111,12,7,0.3815224962121572,2.7635704460462005e-7,0.6184772274307981
community,3,own,111,12,7,0.8701784948695972,1.3478083841736939e-7,0.12982137034956576
community,3,other,111,12,7,0.814427487664003,0.000006046416361879972,0.1855664659196374
community,4,own,111,12,7,0.0004133173117318843,2.7321794361214123e-18,0.999586682688267
community,4,other,111,12,7,0.3428878489331252,3.9732078971421943e-11,0.6571121510271395
community,1,own,11,12,7,0.00006082256258440258,0.9999391774374159,1.5142008796438837e-23
community,1,other,11,12,7,0.03162304734532543,0.9683769526543589,3.195821518564402e-13
community,2,own,11,12,7,0.9783368887546406,0.0000011576457682028207,0.02166195359959119
community,2,other,11,12,7,0.9932705914531998,2.0727156922517646e-7,0.006729201275231826
community,3,own,11,12,7,0.9938181439655043,0.00004520892443567944,0.006136647110060485
community,3,other,11,12,7,0.9988629879140997,0.00017762262681757425,0.0009593894590800477
community,4,own,11,12,7,0.9950026822801072,0.000011154737291371668,0.00498616298260151
community,4,other,11,12,7,0.9855982120069957,0.0000023212455993974726,0.014399466747408399
community,1,own,121,12,7,4.602082307868188e-8,0.9999999539791784,1.2699667191408587e-25
community,1,other,121,12,7,0.06153360918592466,0.9384663905274974,2.86577800611361e-10
community,2,own,121,12,7,0.0029874620461348873,0.9970125379538651,1.7491120966201917e-16
community,2,other,121,12,7,0.07733266171715636,0.9226673382815884,1.2512087941033459e-12
community,3,own,121,12,7,0.026810875729815217,0.9731891242692288,9.590532782835315e-13
community,3,other,121,12,7,0.1295135774406017,0.8704864218098229,7.495727509460663e-10
community,4,own,121,12,7,0.01092969615779803,0.9890703038421836,1.6419224873108055e-14
community,4,other,121,12,7,0.9410569175911354,0.058943081336975414,1.0718924935608364e-9
community,1,own,12,12,7,0.000014017900589054303,1.730808714605865e-19,0.9999859820994083
community,1,other,12,12,7,0.4794481278730695,4.145266663622222e-9,0.5205518679816642
community,2,own,12,12,7,0.012354061864556625,0.9876459381335074,1.238662462073571e-12
community,2,other,12,12,7,0.9790711902814785,0.020928748095054135,6.162346484531601e-8
community,3,own,12,12,7,0.9955869748629917,0.000004637791388835323,0.0044083873456182985
