model,chainNum,speakerAlpha,listenerAlpha,costWeight,discountFactor,guessingEpsilon,              trialNum,speakerID,listenerID,partnerID,intendedName,speakerChoice,listenerChoice,              longUttScore,correctProb
,,1,1,0,0.5,1,1,1,2,1,A,B,word1,0,-0.6915484591962482
,,1,1,0,0.5,1,3,2,1,1,A,A,word2,0,-0.6804284081521706
,,1,1,0,0.5,1,5,1,2,1,A,B,word1,0,-0.682800888505801
,,1,1,0,0.5,1,7,2,1,1,A,B,word2,0,-0.6987629193455811
,,1,1,0,0.5,1,1,3,4,1,A,A,word2,0,-0.6733445532637656
,,1,1,0,0.5,1,3,4,3,1,A,A,word2,0,-0.6678693733756768
,,1,1,0,0.5,1,5,3,4,1,A,B,word1,0,-0.7273246323615318
,,1,1,0,0.5,1,7,4,3,1,A,B,word1,0,-0.7141665477840208
,,1,1,0,0.5,1,9,1,3,2,A,B,word1,0,-0.6749144122988856
,,1,1,0,0.5,1,11,3,1,2,A,B,word2,0,-0.6709943759188121
,,1,1,0,0.5,1,13,1,3,2,A,B,word2,0,-0.7133498878774648
,,1,1,0,0.5,1,15,3,1,2,A,A,word1,0,-0.7100899012902573
,,1,1,0,0.5,1,9,2,4,2,A,A,word1,0,-0.6741291747241833
,,1,1,0,0.5,1,11,4,2,2,A,B,word2,0,-0.6796388305351531
,,1,1,0,0.5,1,13,2,4,2,A,B,word2,0,-0.6772738314036552
,,1,1,0,0.5,1,15,4,2,2,A,B,word1,0,-0.6585525357954464
,,1,1,0,0.5,1,17,1,4,3,A,A,word2,0,-0.6733445532637656
,,1,1,0,0.5,1,19,4,1,3,A,A,word1,0,-0.7117185661453806
,,1,1,0,0.5,1,21,1,4,3,A,B,word1,0,-0.6875628022660446
,,1,1,0,0.5,1,23,4,1,3,A,A,word2,0,-0.6835929677551336
,,1,1,0,0.5,1,17,2,3,3,A,B,word1,0,-0.6812186096946715
,,1,1,0,0.5,1,19,3,2,3,A,B,word1,0,-0.7141665477840208
,,1,1,0,0.5,1,21,2,3,3,A,B,word1,0,-0.6843856748913726
,,1,1,0,0.5,1,23,3,2,3,A,A,word2,0,-0.689952289663426
