model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val,
Listener,5,5,0.9,0.01,85,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,86,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,87,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,88,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,89,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,90,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,91,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,92,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,93,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,94,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,95,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,96,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,97,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,98,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,99,1,1,partner1,group1,1,
Listener,5,5,0.9,0.01,0,1,1,partner2,group1,0.624625,
Listener,5,5,0.9,0.01,1,1,1,partner2,group1,0.475625,
Listener,5,5,0.9,0.01,2,1,1,partner2,group1,0.614125,
Listener,5,5,0.9,0.01,3,1,1,partner2,group1,0.552625,
Listener,5,5,0.9,0.01,4,1,1,partner2,group1,0.378875,
Listener,5,5,0.9,0.01,5,1,1,partner2,group1,0.55,
Listener,5,5,0.9,0.01,6,1,1,partner2,group1,0.500125,
Listener,5,5,0.9,0.01,7,1,1,partner2,group1,0.51675,
Listener,5,5,0.9,0.01,8,1,1,partner2,group1,0.569625,
Listener,5,5,0.9,0.01,9,1,1,partner2,group1,0.48125,
Listener,5,5,0.9,0.01,10,1,1,partner2,group1,0.47975,
Listener,5,5,0.9,0.01,11,1,1,partner2,group1,0.52,
Listener,5,5,0.9,0.01,12,1,1,partner2,group1,0.383,
Listener,5,5,0.9,0.01,13,1,1,partner2,group1,0.46725,
Listener,5,5,0.9,0.01,14,1,1,partner2,group1,0.442875,
Listener,5,5,0.9,0.01,15,1,1,partner2,group1,0.425875,
Listener,5,5,0.9,0.01,16,1,1,partner2,group1,0.550125,
Listener,5,5,0.9,0.01,17,1,1,partner2,group1,0.468875,
Listener,5,5,0.9,0.01,18,1,1,partner2,group1,0.497625,
Listener,5,5,0.9,0.01,19,1,1,partner2,group1,0.288125,
Listener,5,5,0.9,0.01,20,1,1,partner2,group1,0.414375,
Listener,5,5,0.9,0.01,21,1,1,partner2,group1,0.44725,
Listener,5,5,0.9,0.01,22,1,1,partner2,group1,0.50725,
Listener,5,5,0.9,0.01,23,1,1,partner2,group1,0.5455,
Listener,5,5,0.9,0.01,24,1,1,partner2,group1,0.469375,
Listener,5,5,0.9,0.01,25,1,1,partner2,group1,0.55175,
Listener,5,5,0.9,0.01,26,1,1,partner2,group1,0.431125,
Listener,5,5,0.9,0.01,27,1,1,partner2,group1,0.462,
Listener,5,5,0.9,0.01,28,1,1,partner2,group1,0.564125,
Listener,5,5,0.9,0.01,29,1,1,partner2,group1,0.528375,
Listener,5,5,0.9,0.01,30,1,1,partner2,group1,0.505375,
Listener,5,5,0.9,0.01,31,1,1,partner2,group1,0.3725,
