model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
Speaker,5,5,0.9,0.01,99,1,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group1,0.49894
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group2,0.50106
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group1,0.5010525
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group2,0.4989475
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group1,0.498995
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group2,0.501005
Speaker,5,5,0.9,0.01,99,2,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group1,0.50214375
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group2,0.49785625
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group1,0.50122375
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group2,0.49877625
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group1,0.50145625
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group2,0.49854375
Speaker,5,5,0.9,0.01,99,3,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group1,0.50257875
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group2,0.49742125
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group1,0.500685
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group2,0.499315
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group1,0.49485375
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group2,0.50514625
Speaker,5,5,0.9,0.01,99,4,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group1,0.49866875
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group2,0.50133125
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group1,0.4971725
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group2,0.5028275
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group1,0.5009125
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group2,0.4990875
Speaker,5,5,0.9,0.01,99,5,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group1,0.500765
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group2,0.499235
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group1,0.501745
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group2,0.498255
Speaker,5,5,0.9,0.01,99,5,5,1,partner4,group1,0.50028
Speaker,5,5,0.9,0.01,99,5,5,1,partner4,group2,0.49972
Speaker,5,5,0.9,0.01,99,6,5,1,partner1,group1,1
Speaker,5,5,0.9,0.01,99,6,5,1,partner2,group1,0.49741625
Speaker,5,5,0.9,0.01,99,6,5,1,partner2,group2,0.50258375
Speaker,5,5,0.9,0.01,99,6,5,1,partner3,group1,0.50335125
Speaker,5,5,0.9,0.01,99,6,5,1,partner3,group2,0.49664875
Speaker,5,5,0.9,0.01,99,6,5,1,partner4,group1,0.4978825
Speaker,5,5,0.9,0.01,99,6,5,1,partner4,group2,0.5021175
Speaker,5,5,0.9,0.01,99,7,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,7,5,2,partner2,group1,0.50219375
Speaker,5,5,0.9,0.01,99,7,5,2,partner2,group2,0.49780625
Speaker,5,5,0.9,0.01,99,7,5,2,partner3,group1,0.49828125
Speaker,5,5,0.9,0.01,99,7,5,2,partner3,group2,0.50171875
Speaker,5,5,0.9,0.01,99,7,5,2,partner4,group1,0.49726375
Speaker,5,5,0.9,0.01,99,7,5,2,partner4,group2,0.50273625
Speaker,5,5,0.9,0.01,99,8,5,2,partner1,group1,1
Speaker,5,5,0.9,0.01,99,8,5,2,partner2,group1,0.4009775
