model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner2,group2,0.60275
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner2,group1,0.39724999999999994
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner3,group2,0.5877499999999994
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner3,group1,0.41225000000000056
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner4,group1,0.4859999999999996
FlexibleListener,5,5,0.9,0.01,0,1,1,5,partner4,group2,0.5140000000000005
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner2,group1,0.5981250000000001
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner2,group2,0.40187499999999987
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner3,group1,0.5971250000000001
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner3,group2,0.4028749999999999
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner4,group1,0.31975
FlexibleListener,5,5,0.9,0.01,0,2,1,5,partner4,group2,0.68025
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner2,group1,0.49074999999999996
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner2,group2,0.5092500000000001
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner3,group1,0.45025000000000015
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner3,group2,0.54975
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner4,group2,0.37975000000000003
FlexibleListener,5,5,0.9,0.01,0,3,1,5,partner4,group1,0.62025
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner1,group1,1
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner2,group1,0.5262500000000002
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner2,group2,0.4737499999999998
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner3,group2,0.4839999999999999
FlexibleListener,5,5,0.9,0.01,0,4,1,5,partner3,group1,0.516
