scale, iterationNum, trialNum,                  condition,partnerID,partner,val
0.05,0,8,2,partner3,group1,0.5665
0.05,0,8,2,partner3,group2,0.4335
0.05,0,8,2,partner4,group1,0.3745
0.05,0,8,2,partner4,group2,0.6255
0.05,0,9,2,partner1,group1,1
0.05,0,9,2,partner2,group1,0.21175
0.05,0,9,2,partner2,group2,0.78825
0.05,0,9,2,partner3,group1,0.286125
0.05,0,9,2,partner3,group2,0.713875
0.05,0,9,2,partner4,group1,0.520625
0.05,0,9,2,partner4,group2,0.479375
0.05,0,10,2,partner1,group1,1
0.05,0,10,2,partner2,group1,0.010125
0.05,0,10,2,partner2,group2,0.989875
0.05,0,10,2,partner3,group1,0.4615
0.05,0,10,2,partner3,group2,0.5385
0.05,0,10,2,partner4,group1,0.562375
0.05,0,10,2,partner4,group2,0.437625
0.05,0,11,2,partner1,group1,1
0.05,0,11,2,partner2,group1,0.07675
0.05,0,11,2,partner2,group2,0.92325
0.05,0,11,2,partner3,group1,0.70325
0.05,0,11,2,partner3,group2,0.29675
0.05,0,11,2,partner4,group1,0.42575
0.05,0,11,2,partner4,group2,0.57425
0.05,0,12,2,partner1,group1,1
0.05,0,12,2,partner2,group1,0.07225
0.05,0,12,2,partner2,group2,0.92775
0.05,0,12,2,partner3,group1,0.4895
0.05,0,12,2,partner3,group2,0.5105
0.05,0,12,2,partner4,group1,0.48375
0.05,0,12,2,partner4,group2,0.51625
0.05,0,13,3,partner1,group1,1
0.05,0,13,3,partner2,group1,0.043375
0.05,0,13,3,partner2,group2,0.956625
0.05,0,13,3,partner3,group1,0.43375
0.05,0,13,3,partner3,group2,0.56625
0.05,0,13,3,partner4,group1,0.363875
0.05,0,13,3,partner4,group2,0.636125
0.05,0,14,3,partner1,group1,1
0.05,0,14,3,partner2,group1,0.060125
0.05,0,14,3,partner2,group2,0.939875
0.05,0,14,3,partner3,group1,0.909375
0.05,0,14,3,partner3,group2,0.090625
0.05,0,14,3,partner4,group1,0.47675
0.05,0,14,3,partner4,group2,0.52325
0.05,0,15,3,partner1,group1,1
0.05,0,15,3,partner2,group1,0.02825
0.05,0,15,3,partner2,group2,0.97175
0.05,0,15,3,partner3,group1,0.91775
0.05,0,15,3,partner3,group2,0.08225
0.05,0,15,3,partner4,group1,0.763
0.05,0,15,3,partner4,group2,0.237
0.05,0,16,3,partner1,group1,1
0.05,0,16,3,partner2,group1,0.043
0.05,0,16,3,partner2,group2,0.957
0.05,0,16,3,partner3,group1,0.946
0.05,0,16,3,partner3,group2,0.054
0.05,0,16,3,partner4,group1,0.3025
0.05,0,16,3,partner4,group2,0.6975
