model,speakerAlpha,listenerAlpha,costWeight,discountFactor,guessingEpsilon,              trialNum,speakerID,listenerID,partnerID,intendedName,speakerChoice,listenerChoice,              longUttScore,correctProb
M1,5,5,0,0.9,0.01,1,1,5,1,A,word1,B,0,-1.2391747967505307
M1,5,5,0,0.9,0.01,2,1,5,1,B,word2,B,0,-0.00000313722057444176
M1,5,5,0,0.9,0.01,3,1,5,1,A,word1,A,0,-2.5251757886619383e-7
M1,5,5,0,0.9,0.01,4,1,5,1,B,word2,B,0,-1.5806691523736829e-9
M1,5,5,0,0.9,0.01,5,1,5,1,A,word1,A,0,-4.219657957273847e-10
M1,5,5,0,0.9,0.01,6,1,5,1,B,word2,B,0,-1.0941314521660957e-10
M1,5,5,0,0.9,0.01,7,2,5,2,A,word2,B,0,-7.226088709757026
M1,5,5,0,0.9,0.01,8,2,5,2,B,word1,B,0,-0.00001097039098362049
M1,5,5,0,0.9,0.01,9,2,5,2,A,word2,A,0,-5.025074006037976e-7
M1,5,5,0,0.9,0.01,10,2,5,2,B,word1,B,0,-7.01403848574893e-9
M1,5,5,0,0.9,0.01,11,2,5,2,A,word2,A,0,-4.753366590357151e-10
M1,5,5,0,0.9,0.01,12,2,5,2,B,word1,B,0,-1.2423440055248197e-10
M1,5,5,0,0.9,0.01,13,3,5,3,A,word1,B,0,-1.7849198263192978
M1,5,5,0,0.9,0.01,14,3,5,3,B,word2,B,0,-6.794805807212948e-7
M1,5,5,0,0.9,0.01,15,3,5,3,A,word1,A,0,-1.129444555375552e-8
M1,5,5,0,0.9,0.01,16,3,5,3,B,word2,B,0,-5.690656836264049e-10
M1,5,5,0,0.9,0.01,17,3,5,3,A,word1,A,0,-1.8973622674801947e-10
M1,5,5,0,0.9,0.01,18,3,5,3,B,word2,B,0,-2.7193802765538337e-11
M1,5,5,0,0.9,0.01,19,4,5,4,A,word2,B,0,-3.014562676550394
M1,5,5,0,0.9,0.01,20,4,5,4,B,word1,B,0,-0.0000024204795035301425
M1,5,5,0,0.9,0.01,21,4,5,4,A,word2,A,0,-2.1317058567950315e-8
M1,5,5,0,0.9,0.01,22,4,5,4,B,word1,B,0,-3.1455160747828433e-9
M1,5,5,0,0.9,0.01,23,4,5,4,A,word2,A,0,-3.6191827319397334e-10
M1,5,5,0,0.9,0.01,24,4,5,4,B,word1,B,0,-3.441669171936718e-11
