model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val,
Speaker,5,5,0.9,0.01,99,1,5,1,partner1,group1,1,1
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group1,0.557875,0.50041875
Speaker,5,5,0.9,0.01,99,1,5,1,partner2,group2,0.442125,0.49958125
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group1,0.4395,0.50275875
Speaker,5,5,0.9,0.01,99,1,5,1,partner3,group2,0.5605,0.49724125
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group1,0.46425,0.49800625
Speaker,5,5,0.9,0.01,99,1,5,1,partner4,group2,0.53575,0.50199375
Speaker,5,5,0.9,0.01,99,2,5,1,partner1,group1,1,1
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group1,0.44875,0.5005
Speaker,5,5,0.9,0.01,99,2,5,1,partner2,group2,0.55125,0.4995
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group1,0.463625,0.4949175
Speaker,5,5,0.9,0.01,99,2,5,1,partner3,group2,0.536375,0.5050825
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group1,0.5665,0.5003375
Speaker,5,5,0.9,0.01,99,2,5,1,partner4,group2,0.4335,0.4996625
Speaker,5,5,0.9,0.01,99,3,5,1,partner1,group1,1,1
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group1,0.5305,0.4924075
Speaker,5,5,0.9,0.01,99,3,5,1,partner2,group2,0.4695,0.5075925
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group1,0.46325,0.500945
Speaker,5,5,0.9,0.01,99,3,5,1,partner3,group2,0.53675,0.499055
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group1,0.582125,0.49475
Speaker,5,5,0.9,0.01,99,3,5,1,partner4,group2,0.417875,0.50525
Speaker,5,5,0.9,0.01,99,4,5,1,partner1,group1,1,1
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group1,0.466375,0.49783625
Speaker,5,5,0.9,0.01,99,4,5,1,partner2,group2,0.533625,0.50216375
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group1,0.464,0.4975825
Speaker,5,5,0.9,0.01,99,4,5,1,partner3,group2,0.536,0.5024175
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group1,0.471125,0.49176
Speaker,5,5,0.9,0.01,99,4,5,1,partner4,group2,0.528875,0.50824
Speaker,5,5,0.9,0.01,99,5,5,1,partner1,group1,1,1
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group1,0.479625,0.49686
Speaker,5,5,0.9,0.01,99,5,5,1,partner2,group2,0.520375,0.50314
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group1,0.44975,0.4976875
Speaker,5,5,0.9,0.01,99,5,5,1,partner3,group2,0.55025,0.5023125
Speaker,5,5,0.9,0.01,99,5,5,1,partner4,group1,0.50725,0.50598375
