model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner2,group1,0.5488750000000004
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner2,group2,0.45112499999999955
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner3,group1,0.6297500000000003
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner3,group2,0.37024999999999963
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner4,group1,0.44975000000000004
FlexibleSpeaker1,5,5,0.9,0.01,0,1,5,1,partner4,group2,0.55025
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner2,group1,0.45125000000000015
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner2,group2,0.5487499999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner3,group2,0.4968749999999997
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner3,group1,0.5031250000000004
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner4,group2,0.5968749999999996
FlexibleSpeaker1,5,5,0.9,0.01,0,2,5,1,partner4,group1,0.4031250000000004
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner2,group2,0.5040000000000004
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner2,group1,0.4959999999999995
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner3,group1,0.4340000000000003
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner3,group2,0.5659999999999996
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner4,group2,0.5653749999999997
FlexibleSpeaker1,5,5,0.9,0.01,0,3,5,1,partner4,group1,0.43462500000000026
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner2,group1,0.4338749999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner2,group2,0.5661250000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner3,group2,0.4691249999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner3,group1,0.5308750000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner4,group1,0.5032499999999992
FlexibleSpeaker1,5,5,0.9,0.01,0,4,5,1,partner4,group2,0.4967500000000007
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner2,group2,0.5100000000000001
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner2,group1,0.4899999999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner3,group1,0.5884999999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner3,group2,0.4115
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner4,group2,0.5113749999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,5,5,1,partner4,group1,0.4886250000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner2,group1,0.5377500000000005
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner2,group2,0.46224999999999955
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner3,group2,0.52375
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner3,group1,0.47625
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner4,group2,0.4830000000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,6,5,1,partner4,group1,0.5169999999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner2,group2,0.3385
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner2,group1,0.6614999999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner3,group2,0.44750000000000006
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner3,group1,0.5525
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner4,group2,0.5595000000000003
FlexibleSpeaker1,5,5,0.9,0.01,0,7,5,2,partner4,group1,0.44049999999999967
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner2,group1,0.1002499999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner2,group2,0.8997500000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner3,group2,0.5628749999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner3,group1,0.437125
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner4,group2,0.3449999999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,8,5,2,partner4,group1,0.655
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner2,group2,0.45587500000000014
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner2,group1,0.5441249999999999
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner3,group1,0.40487499999999965
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner3,group2,0.5951250000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner4,group2,0.4171249999999994
FlexibleSpeaker1,5,5,0.9,0.01,0,9,5,2,partner4,group1,0.5828750000000005
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner2,group2,0.32887500000000025
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner2,group1,0.6711249999999997
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner3,group1,0.5132499999999998
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner3,group2,0.4867500000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner4,group1,0.49612499999999987
FlexibleSpeaker1,5,5,0.9,0.01,0,10,5,2,partner4,group2,0.5038750000000002
FlexibleSpeaker1,5,5,0.9,0.01,0,11,5,2,partner1,group1,1
FlexibleSpeaker1,5,5,0.9,0.01,0,11,5,2,partner2,group2,0.24812500000000026
FlexibleSpeaker1,5,5,0.9,0.01,0,11,5,2,partner2,group1,0.7518749999999997
