model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,99,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,1,1,partner2,group1,0.50047
Listener,5,5,0.9,0.01,99,1,1,partner2,group2,0.49953
Listener,5,5,0.9,0.01,99,1,1,partner3,group1,0.50177
Listener,5,5,0.9,0.01,99,1,1,partner3,group2,0.49823
Listener,5,5,0.9,0.01,99,1,1,partner4,group1,0.5010575
Listener,5,5,0.9,0.01,99,1,1,partner4,group2,0.4989425
Listener,5,5,0.9,0.01,99,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,2,1,partner2,group1,0.49799375
Listener,5,5,0.9,0.01,99,2,1,partner2,group2,0.50200625
Listener,5,5,0.9,0.01,99,2,1,partner3,group1,0.502355
Listener,5,5,0.9,0.01,99,2,1,partner3,group2,0.497645
Listener,5,5,0.9,0.01,99,2,1,partner4,group1,0.498795
Listener,5,5,0.9,0.01,99,2,1,partner4,group2,0.501205
Listener,5,5,0.9,0.01,99,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,3,1,partner2,group1,0.49936125
Listener,5,5,0.9,0.01,99,3,1,partner2,group2,0.50063875
Listener,5,5,0.9,0.01,99,3,1,partner3,group1,0.49929875
Listener,5,5,0.9,0.01,99,3,1,partner3,group2,0.50070125
Listener,5,5,0.9,0.01,99,3,1,partner4,group1,0.49763875
Listener,5,5,0.9,0.01,99,3,1,partner4,group2,0.50236125
Listener,5,5,0.9,0.01,99,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,4,1,partner2,group1,0.50056125
Listener,5,5,0.9,0.01,99,4,1,partner2,group2,0.49943875
Listener,5,5,0.9,0.01,99,4,1,partner3,group1,0.4983675
Listener,5,5,0.9,0.01,99,4,1,partner3,group2,0.5016325
Listener,5,5,0.9,0.01,99,4,1,partner4,group1,0.49898
Listener,5,5,0.9,0.01,99,4,1,partner4,group2,0.50102
Listener,5,5,0.9,0.01,99,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,5,1,partner2,group1,0.49710375
Listener,5,5,0.9,0.01,99,5,1,partner2,group2,0.50289625
Listener,5,5,0.9,0.01,99,5,1,partner3,group1,0.50178625
Listener,5,5,0.9,0.01,99,5,1,partner3,group2,0.49821375
Listener,5,5,0.9,0.01,99,5,1,partner4,group1,0.499745
Listener,5,5,0.9,0.01,99,5,1,partner4,group2,0.500255
Listener,5,5,0.9,0.01,99,6,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,6,1,partner2,group1,0.50082375
Listener,5,5,0.9,0.01,99,6,1,partner2,group2,0.49917625
Listener,5,5,0.9,0.01,99,6,1,partner3,group1,0.4990125
Listener,5,5,0.9,0.01,99,6,1,partner3,group2,0.5009875
Listener,5,5,0.9,0.01,99,6,1,partner4,group1,0.50015
Listener,5,5,0.9,0.01,99,6,1,partner4,group2,0.49985
Listener,5,5,0.9,0.01,99,7,2,partner1,group1,1
