model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  speakerID, listenerID, partnerID,partner,val
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner2,group1,0.4866249999999999
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner2,group2,0.5133750000000001
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner3,group1,0.505875
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner3,group2,0.49412500000000004
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner4,group2,0.5038750000000001
FlexibleSpeaker,5,5,0.9,0.01,0,1,5,1,partner4,group1,0.49612500000000004
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner2,group2,0.5000000000000001
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner2,group1,0.49999999999999994
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner3,group1,0.513375
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner3,group2,0.48662500000000003
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner4,group1,0.5055000000000002
FlexibleSpeaker,5,5,0.9,0.01,0,2,5,1,partner4,group2,0.49449999999999983
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner2,group1,0.4779999999999998
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner2,group2,0.5220000000000002
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner3,group2,0.496125
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner3,group1,0.5038750000000001
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner4,group2,0.5362499999999998
FlexibleSpeaker,5,5,0.9,0.01,0,3,5,1,partner4,group1,0.4637500000000002
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner2,group2,0.506875
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner2,group1,0.493125
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner3,group2,0.5316249999999999
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner3,group1,0.4683750000000001
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner4,group1,0.4861250000000002
FlexibleSpeaker,5,5,0.9,0.01,0,4,5,1,partner4,group2,0.5138749999999997
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner2,group1,0.4796250000000001
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner2,group2,0.5203749999999999
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner3,group2,0.4972499999999999
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner3,group1,0.5027500000000001
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner4,group2,0.508625
FlexibleSpeaker,5,5,0.9,0.01,0,5,5,1,partner4,group1,0.491375
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner2,group1,0.4920000000000002
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner2,group2,0.5079999999999998
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner3,group2,0.49125000000000024
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner3,group1,0.5087499999999998
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner4,group2,0.5050000000000002
FlexibleSpeaker,5,5,0.9,0.01,0,6,5,1,partner4,group1,0.49499999999999983
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner2,group2,0.47737500000000044
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner2,group1,0.5226249999999996
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner3,group2,0.49324999999999986
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner3,group1,0.50675
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner4,group2,0.5199999999999997
FlexibleSpeaker,5,5,0.9,0.01,0,7,5,2,partner4,group1,0.48000000000000026
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner2,group2,0.5040000000000003
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner2,group1,0.4959999999999996
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner3,group2,0.50275
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner3,group1,0.4972499999999999
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner4,group1,0.49075
FlexibleSpeaker,5,5,0.9,0.01,0,8,5,2,partner4,group2,0.5092500000000001
FlexibleSpeaker,5,5,0.9,0.01,0,9,5,2,partner1,group1,1
FlexibleSpeaker,5,5,0.9,0.01,0,9,5,2,partner2,group2,0.5196249999999999
FlexibleSpeaker,5,5,0.9,0.01,0,9,5,2,partner2,group1,0.4803750000000001
