model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,0,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,1,1,partner2,group1,0.49900000000000017
Listener,5,5,0.9,0.01,0,1,1,partner2,group2,0.5009999999999999
Listener,5,5,0.9,0.01,0,1,1,partner3,group2,0.506875
Listener,5,5,0.9,0.01,0,1,1,partner3,group1,0.493125
Listener,5,5,0.9,0.01,0,1,1,partner4,group2,0.4996250000000002
Listener,5,5,0.9,0.01,0,1,1,partner4,group1,0.5003749999999998
Listener,5,5,0.9,0.01,0,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,2,1,partner2,group1,0.5058749999999999
Listener,5,5,0.9,0.01,0,2,1,partner2,group2,0.4941250000000001
Listener,5,5,0.9,0.01,0,2,1,partner3,group2,0.49062500000000014
Listener,5,5,0.9,0.01,0,2,1,partner3,group1,0.5093749999999998
Listener,5,5,0.9,0.01,0,2,1,partner4,group2,0.47837500000000005
Listener,5,5,0.9,0.01,0,2,1,partner4,group1,0.5216249999999999
Listener,5,5,0.9,0.01,0,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,3,1,partner2,group2,0.5213749999999998
Listener,5,5,0.9,0.01,0,3,1,partner2,group1,0.4786250000000002
Listener,5,5,0.9,0.01,0,3,1,partner3,group2,0.49487500000000034
Listener,5,5,0.9,0.01,0,3,1,partner3,group1,0.5051249999999997
Listener,5,5,0.9,0.01,0,3,1,partner4,group2,0.48862500000000014
Listener,5,5,0.9,0.01,0,3,1,partner4,group1,0.5113749999999999
Listener,5,5,0.9,0.01,0,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,4,1,partner2,group2,0.49237499999999995
Listener,5,5,0.9,0.01,0,4,1,partner2,group1,0.507625
Listener,5,5,0.9,0.01,0,4,1,partner3,group1,0.4791250000000004
Listener,5,5,0.9,0.01,0,4,1,partner3,group2,0.5208749999999996
Listener,5,5,0.9,0.01,0,4,1,partner4,group2,0.49362500000000015
Listener,5,5,0.9,0.01,0,4,1,partner4,group1,0.5063749999999999
Listener,5,5,0.9,0.01,0,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,5,1,partner2,group1,0.5063749999999999
Listener,5,5,0.9,0.01,0,5,1,partner2,group2,0.49362500000000015
Listener,5,5,0.9,0.01,0,5,1,partner3,group1,0.5147499999999999
Listener,5,5,0.9,0.01,0,5,1,partner3,group2,0.48525
Listener,5,5,0.9,0.01,0,5,1,partner4,group1,0.50075
Listener,5,5,0.9,0.01,0,5,1,partner4,group2,0.49925
Listener,5,5,0.9,0.01,0,6,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,6,1,partner2,group1,0.46512500000000007
Listener,5,5,0.9,0.01,0,6,1,partner2,group2,0.534875
Listener,5,5,0.9,0.01,0,6,1,partner3,group1,0.4797499999999999
Listener,5,5,0.9,0.01,0,6,1,partner3,group2,0.5202500000000001
Listener,5,5,0.9,0.01,0,6,1,partner4,group1,0.4948749999999999
Listener,5,5,0.9,0.01,0,6,1,partner4,group2,0.5051250000000002
Listener,5,5,0.9,0.01,0,7,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,7,2,partner2,group1,0.513375
Listener,5,5,0.9,0.01,0,7,2,partner2,group2,0.486625
Listener,5,5,0.9,0.01,0,7,2,partner3,group2,0.5085
Listener,5,5,0.9,0.01,0,7,2,partner3,group1,0.49150000000000005
Listener,5,5,0.9,0.01,0,7,2,partner4,group2,0.5167499999999998
Listener,5,5,0.9,0.01,0,7,2,partner4,group1,0.4832500000000002
Listener,5,5,0.9,0.01,0,8,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,8,2,partner2,group1,0.4565000000000003
Listener,5,5,0.9,0.01,0,8,2,partner2,group2,0.5434999999999999
Listener,5,5,0.9,0.01,0,8,2,partner3,group1,0.48687499999999995
Listener,5,5,0.9,0.01,0,8,2,partner3,group2,0.5131250000000002
Listener,5,5,0.9,0.01,0,8,2,partner4,group2,0.47075
Listener,5,5,0.9,0.01,0,8,2,partner4,group1,0.52925
Listener,5,5,0.9,0.01,0,9,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,9,2,partner2,group1,0.47612499999999985
Listener,5,5,0.9,0.01,0,9,2,partner2,group2,0.5238750000000001
Listener,5,5,0.9,0.01,0,9,2,partner3,group2,0.5177499999999999
Listener,5,5,0.9,0.01,0,9,2,partner3,group1,0.48225000000000007
Listener,5,5,0.9,0.01,0,9,2,partner4,group2,0.5241249999999997
Listener,5,5,0.9,0.01,0,9,2,partner4,group1,0.4758750000000001
Listener,5,5,0.9,0.01,0,10,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,10,2,partner2,group1,0.4735000000000001
Listener,5,5,0.9,0.01,0,10,2,partner2,group2,0.5264999999999999
Listener,5,5,0.9,0.01,0,10,2,partner3,group2,0.5220000000000001
Listener,5,5,0.9,0.01,0,10,2,partner3,group1,0.478
Listener,5,5,0.9,0.01,0,10,2,partner4,group1,0.5043750000000001
Listener,5,5,0.9,0.01,0,10,2,partner4,group2,0.49562499999999987
Listener,5,5,0.9,0.01,0,11,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,11,2,partner2,group1,0.4750000000000002
Listener,5,5,0.9,0.01,0,11,2,partner2,group2,0.5249999999999998
Listener,5,5,0.9,0.01,0,11,2,partner3,group2,0.5006249999999999
Listener,5,5,0.9,0.01,0,11,2,partner3,group1,0.49937500000000007
Listener,5,5,0.9,0.01,0,11,2,partner4,group2,0.4992499999999998
Listener,5,5,0.9,0.01,0,11,2,partner4,group1,0.5007500000000001
Listener,5,5,0.9,0.01,0,12,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,12,2,partner2,group2,0.5373749999999993
Listener,5,5,0.9,0.01,0,12,2,partner2,group1,0.46262500000000084
Listener,5,5,0.9,0.01,0,12,2,partner3,group2,0.5078749999999997
Listener,5,5,0.9,0.01,0,12,2,partner3,group1,0.4921250000000002
Listener,5,5,0.9,0.01,0,12,2,partner4,group2,0.5177499999999997
Listener,5,5,0.9,0.01,0,12,2,partner4,group1,0.48225000000000035
Listener,5,5,0.9,0.01,0,13,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,13,3,partner2,group2,0.5406249999999996
Listener,5,5,0.9,0.01,0,13,3,partner2,group1,0.45937500000000037
Listener,5,5,0.9,0.01,0,13,3,partner3,group2,0.4733750000000005
Listener,5,5,0.9,0.01,0,13,3,partner3,group1,0.5266249999999996
Listener,5,5,0.9,0.01,0,13,3,partner4,group2,0.47299999999999986
Listener,5,5,0.9,0.01,0,13,3,partner4,group1,0.5270000000000001
Listener,5,5,0.9,0.01,0,14,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,14,3,partner2,group2,0.5411249999999996
Listener,5,5,0.9,0.01,0,14,3,partner2,group1,0.45887500000000037
Listener,5,5,0.9,0.01,0,14,3,partner3,group2,0.49024999999999974
Listener,5,5,0.9,0.01,0,14,3,partner3,group1,0.5097500000000001
Listener,5,5,0.9,0.01,0,14,3,partner4,group1,0.5082499999999999
Listener,5,5,0.9,0.01,0,14,3,partner4,group2,0.49175
Listener,5,5,0.9,0.01,0,15,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,15,3,partner2,group2,0.5383749999999999
Listener,5,5,0.9,0.01,0,15,3,partner2,group1,0.4616250000000001
Listener,5,5,0.9,0.01,0,15,3,partner3,group2,0.4497500000000001
Listener,5,5,0.9,0.01,0,15,3,partner3,group1,0.5502499999999998
Listener,5,5,0.9,0.01,0,15,3,partner4,group2,0.4991250000000002
Listener,5,5,0.9,0.01,0,15,3,partner4,group1,0.5008749999999997
Listener,5,5,0.9,0.01,0,16,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,16,3,partner2,group2,0.5364999999999998
Listener,5,5,0.9,0.01,0,16,3,partner2,group1,0.46350000000000025
Listener,5,5,0.9,0.01,0,16,3,partner3,group2,0.48937499999999967
Listener,5,5,0.9,0.01,0,16,3,partner3,group1,0.5106250000000003
Listener,5,5,0.9,0.01,0,16,3,partner4,group1,0.487125
Listener,5,5,0.9,0.01,0,16,3,partner4,group2,0.512875
Listener,5,5,0.9,0.01,0,17,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,17,3,partner2,group2,0.5124999999999996
Listener,5,5,0.9,0.01,0,17,3,partner2,group1,0.4875000000000004
Listener,5,5,0.9,0.01,0,17,3,partner3,group1,0.5198749999999995
Listener,5,5,0.9,0.01,0,17,3,partner3,group2,0.4801250000000005
Listener,5,5,0.9,0.01,0,17,3,partner4,group2,0.5232500000000002
Listener,5,5,0.9,0.01,0,17,3,partner4,group1,0.47674999999999984
Listener,5,5,0.9,0.01,0,18,3,partner1,group1,1
Listener,5,5,0.9,0.01,0,18,3,partner2,group1,0.47212500000000035
Listener,5,5,0.9,0.01,0,18,3,partner2,group2,0.5278749999999997
Listener,5,5,0.9,0.01,0,18,3,partner3,group1,0.5318749999999999
Listener,5,5,0.9,0.01,0,18,3,partner3,group2,0.4681250000000002
Listener,5,5,0.9,0.01,0,18,3,partner4,group1,0.48637500000000006
Listener,5,5,0.9,0.01,0,18,3,partner4,group2,0.513625
Listener,5,5,0.9,0.01,0,19,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,19,4,partner2,group2,0.5324999999999999
Listener,5,5,0.9,0.01,0,19,4,partner2,group1,0.46750000000000014
Listener,5,5,0.9,0.01,0,19,4,partner3,group1,0.5232499999999995
Listener,5,5,0.9,0.01,0,19,4,partner3,group2,0.47675000000000034
Listener,5,5,0.9,0.01,0,19,4,partner4,group2,0.501875
Listener,5,5,0.9,0.01,0,19,4,partner4,group1,0.4981250000000001
Listener,5,5,0.9,0.01,0,20,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,20,4,partner2,group2,0.5499999999999998
Listener,5,5,0.9,0.01,0,20,4,partner2,group1,0.4500000000000002
Listener,5,5,0.9,0.01,0,20,4,partner3,group2,0.4713750000000002
Listener,5,5,0.9,0.01,0,20,4,partner3,group1,0.5286249999999998
Listener,5,5,0.9,0.01,0,20,4,partner4,group2,0.52075
Listener,5,5,0.9,0.01,0,20,4,partner4,group1,0.47924999999999995
Listener,5,5,0.9,0.01,0,21,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,21,4,partner2,group2,0.5154999999999996
Listener,5,5,0.9,0.01,0,21,4,partner2,group1,0.4845000000000004
Listener,5,5,0.9,0.01,0,21,4,partner3,group1,0.5211249999999998
Listener,5,5,0.9,0.01,0,21,4,partner3,group2,0.4788750000000002
Listener,5,5,0.9,0.01,0,21,4,partner4,group1,0.48562499999999975
Listener,5,5,0.9,0.01,0,21,4,partner4,group2,0.5143750000000002
Listener,5,5,0.9,0.01,0,22,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,22,4,partner2,group2,0.5115000000000001
Listener,5,5,0.9,0.01,0,22,4,partner2,group1,0.4884999999999998
Listener,5,5,0.9,0.01,0,22,4,partner3,group2,0.4780000000000002
Listener,5,5,0.9,0.01,0,22,4,partner3,group1,0.5219999999999998
Listener,5,5,0.9,0.01,0,22,4,partner4,group2,0.539625
Listener,5,5,0.9,0.01,0,22,4,partner4,group1,0.460375
Listener,5,5,0.9,0.01,0,23,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,23,4,partner2,group1,0.5082499999999999
Listener,5,5,0.9,0.01,0,23,4,partner2,group2,0.49175000000000013
Listener,5,5,0.9,0.01,0,23,4,partner3,group1,0.506
Listener,5,5,0.9,0.01,0,23,4,partner3,group2,0.4939999999999999
Listener,5,5,0.9,0.01,0,23,4,partner4,group1,0.47724999999999995
Listener,5,5,0.9,0.01,0,23,4,partner4,group2,0.5227499999999999
Listener,5,5,0.9,0.01,0,24,4,partner1,group1,1
Listener,5,5,0.9,0.01,0,24,4,partner2,group1,0.4904999999999998
Listener,5,5,0.9,0.01,0,24,4,partner2,group2,0.5095000000000002
Listener,5,5,0.9,0.01,0,24,4,partner3,group1,0.5346249999999997
Listener,5,5,0.9,0.01,0,24,4,partner3,group2,0.4653750000000004
Listener,5,5,0.9,0.01,0,24,4,partner4,group2,0.5144999999999995
Listener,5,5,0.9,0.01,0,24,4,partner4,group1,0.4855000000000004
Listener,5,5,0.9,0.01,1,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,1,1,1,partner2,group2,0.5072499999999998
Listener,5,5,0.9,0.01,1,1,1,partner2,group1,0.4927500000000003
Listener,5,5,0.9,0.01,1,1,1,partner3,group2,0.501375
Listener,5,5,0.9,0.01,1,1,1,partner3,group1,0.4986249999999999
Listener,5,5,0.9,0.01,1,1,1,partner4,group1,0.5052499999999996
Listener,5,5,0.9,0.01,1,1,1,partner4,group2,0.49475000000000036
Listener,5,5,0.9,0.01,1,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,1,2,1,partner2,group2,0.5237499999999997
Listener,5,5,0.9,0.01,1,2,1,partner2,group1,0.4762500000000003
Listener,5,5,0.9,0.01,1,2,1,partner3,group1,0.5185000000000001
Listener,5,5,0.9,0.01,1,2,1,partner3,group2,0.48149999999999993
Listener,5,5,0.9,0.01,1,2,1,partner4,group2,0.4865000000000001
Listener,5,5,0.9,0.01,1,2,1,partner4,group1,0.5135
Listener,5,5,0.9,0.01,1,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,1,3,1,partner2,group1,0.536125
Listener,5,5,0.9,0.01,1,3,1,partner2,group2,0.46387500000000015
Listener,5,5,0.9,0.01,1,3,1,partner3,group2,0.5174999999999996
Listener,5,5,0.9,0.01,1,3,1,partner3,group1,0.4825000000000003
Listener,5,5,0.9,0.01,1,3,1,partner4,group1,0.49400000000000016
Listener,5,5,0.9,0.01,1,3,1,partner4,group2,0.5059999999999997
Listener,5,5,0.9,0.01,1,4,1,partner1,group1,1
