model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,0,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,1,1,partner2,group1,0.5193750000000001
Listener,5,5,0.9,0.01,0,1,1,partner2,group2,0.4806249999999998
Listener,5,5,0.9,0.01,0,1,1,partner3,group2,0.4477500000000005
Listener,5,5,0.9,0.01,0,1,1,partner3,group1,0.5522499999999995
Listener,5,5,0.9,0.01,0,1,1,partner4,group2,0.4450000000000003
Listener,5,5,0.9,0.01,0,1,1,partner4,group1,0.5549999999999997
Listener,5,5,0.9,0.01,0,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,2,1,partner2,group1,0.4652500000000001
Listener,5,5,0.9,0.01,0,2,1,partner2,group2,0.5347499999999998
Listener,5,5,0.9,0.01,0,2,1,partner3,group1,0.443
Listener,5,5,0.9,0.01,0,2,1,partner3,group2,0.557
Listener,5,5,0.9,0.01,0,2,1,partner4,group1,0.49674999999999975
Listener,5,5,0.9,0.01,0,2,1,partner4,group2,0.5032500000000003
Listener,5,5,0.9,0.01,0,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,3,1,partner2,group2,0.5213749999999999
Listener,5,5,0.9,0.01,0,3,1,partner2,group1,0.4786250000000001
Listener,5,5,0.9,0.01,0,3,1,partner3,group2,0.6063750000000001
Listener,5,5,0.9,0.01,0,3,1,partner3,group1,0.393625
Listener,5,5,0.9,0.01,0,3,1,partner4,group2,0.5661249999999999
Listener,5,5,0.9,0.01,0,3,1,partner4,group1,0.4338750000000001
Listener,5,5,0.9,0.01,0,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,4,1,partner2,group2,0.5717500000000003
Listener,5,5,0.9,0.01,0,4,1,partner2,group1,0.42824999999999963
Listener,5,5,0.9,0.01,0,4,1,partner3,group2,0.48387500000000006
Listener,5,5,0.9,0.01,0,4,1,partner3,group1,0.516125
Listener,5,5,0.9,0.01,0,4,1,partner4,group2,0.5484999999999998
