model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,0,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,1,1,partner2,group2,0.5058750000000003
Listener,5,5,0.9,0.01,0,1,1,partner2,group1,0.4941249999999997
Listener,5,5,0.9,0.01,0,1,1,partner3,group2,0.47662500000000013
Listener,5,5,0.9,0.01,0,1,1,partner3,group1,0.5233749999999998
Listener,5,5,0.9,0.01,0,1,1,partner4,group2,0.5089999999999998
Listener,5,5,0.9,0.01,0,1,1,partner4,group1,0.49100000000000016
Listener,5,5,0.9,0.01,0,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,2,1,partner2,group2,0.5101250000000002
Listener,5,5,0.9,0.01,0,2,1,partner2,group1,0.48987499999999995
Listener,5,5,0.9,0.01,0,2,1,partner3,group2,0.4922500000000005
Listener,5,5,0.9,0.01,0,2,1,partner3,group1,0.5077499999999996
Listener,5,5,0.9,0.01,0,2,1,partner4,group1,0.4890000000000001
Listener,5,5,0.9,0.01,0,2,1,partner4,group2,0.5109999999999999
Listener,5,5,0.9,0.01,0,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,3,1,partner2,group1,0.44062499999999977
Listener,5,5,0.9,0.01,0,3,1,partner2,group2,0.5593750000000003
Listener,5,5,0.9,0.01,0,3,1,partner3,group1,0.44912500000000033
Listener,5,5,0.9,0.01,0,3,1,partner3,group2,0.5508749999999997
Listener,5,5,0.9,0.01,0,3,1,partner4,group1,0.5017499999999998
Listener,5,5,0.9,0.01,0,3,1,partner4,group2,0.4982500000000003
Listener,5,5,0.9,0.01,0,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,4,1,partner2,group1,0.50975
Listener,5,5,0.9,0.01,0,4,1,partner2,group2,0.4902499999999999
Listener,5,5,0.9,0.01,0,4,1,partner3,group1,0.48662499999999986
Listener,5,5,0.9,0.01,0,4,1,partner3,group2,0.5133750000000001
Listener,5,5,0.9,0.01,0,4,1,partner4,group1,0.49787500000000035
Listener,5,5,0.9,0.01,0,4,1,partner4,group2,0.5021249999999996
Listener,5,5,0.9,0.01,0,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,5,1,partner2,group2,0.47400000000000025
Listener,5,5,0.9,0.01,0,5,1,partner2,group1,0.5259999999999998
Listener,5,5,0.9,0.01,0,5,1,partner3,group1,0.4771250000000002
Listener,5,5,0.9,0.01,0,5,1,partner3,group2,0.5228749999999998
Listener,5,5,0.9,0.01,0,5,1,partner4,group1,0.4717500000000001
Listener,5,5,0.9,0.01,0,5,1,partner4,group2,0.5282499999999999
Listener,5,5,0.9,0.01,0,6,1,partner1,group1,1
Listener,5,5,0.9,0.01,0,6,1,partner2,group2,0.49837499999999985
Listener,5,5,0.9,0.01,0,6,1,partner2,group1,0.5016250000000002
Listener,5,5,0.9,0.01,0,6,1,partner3,group2,0.482125
Listener,5,5,0.9,0.01,0,6,1,partner3,group1,0.517875
Listener,5,5,0.9,0.01,0,6,1,partner4,group1,0.5013750000000001
Listener,5,5,0.9,0.01,0,6,1,partner4,group2,0.49862499999999976
Listener,5,5,0.9,0.01,0,7,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,7,2,partner2,group1,0.503625
Listener,5,5,0.9,0.01,0,7,2,partner2,group2,0.49637499999999996
Listener,5,5,0.9,0.01,0,7,2,partner3,group1,0.493625
Listener,5,5,0.9,0.01,0,7,2,partner3,group2,0.506375
Listener,5,5,0.9,0.01,0,7,2,partner4,group1,0.47825000000000056
Listener,5,5,0.9,0.01,0,7,2,partner4,group2,0.5217499999999995
Listener,5,5,0.9,0.01,0,8,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,8,2,partner2,group1,0.459875
Listener,5,5,0.9,0.01,0,8,2,partner2,group2,0.5401250000000001
Listener,5,5,0.9,0.01,0,8,2,partner3,group2,0.48524999999999996
Listener,5,5,0.9,0.01,0,8,2,partner3,group1,0.5147499999999999
Listener,5,5,0.9,0.01,0,8,2,partner4,group1,0.5017499999999999
Listener,5,5,0.9,0.01,0,8,2,partner4,group2,0.4982500000000002
Listener,5,5,0.9,0.01,0,9,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,9,2,partner2,group1,0.3802500000000004
Listener,5,5,0.9,0.01,0,9,2,partner2,group2,0.6197499999999996
Listener,5,5,0.9,0.01,0,9,2,partner3,group2,0.45212500000000017
Listener,5,5,0.9,0.01,0,9,2,partner3,group1,0.5478749999999999
Listener,5,5,0.9,0.01,0,9,2,partner4,group2,0.5068749999999999
Listener,5,5,0.9,0.01,0,9,2,partner4,group1,0.4931250000000002
Listener,5,5,0.9,0.01,0,10,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,10,2,partner2,group1,0.39675000000000105
Listener,5,5,0.9,0.01,0,10,2,partner2,group2,0.6032499999999991
Listener,5,5,0.9,0.01,0,10,2,partner3,group2,0.4941249999999999
Listener,5,5,0.9,0.01,0,10,2,partner3,group1,0.5058750000000001
Listener,5,5,0.9,0.01,0,10,2,partner4,group1,0.484875
Listener,5,5,0.9,0.01,0,10,2,partner4,group2,0.5151249999999999
Listener,5,5,0.9,0.01,0,11,2,partner1,group1,1
Listener,5,5,0.9,0.01,0,11,2,partner2,group1,0.34825000000000017
Listener,5,5,0.9,0.01,0,11,2,partner2,group2,0.6517499999999997
Listener,5,5,0.9,0.01,0,11,2,partner3,group2,0.49200000000000016
Listener,5,5,0.9,0.01,0,11,2,partner3,group1,0.5079999999999999
Listener,5,5,0.9,0.01,0,11,2,partner4,group2,0.519125
Listener,5,5,0.9,0.01,0,11,2,partner4,group1,0.4808750000000001
Listener,5,5,0.9,0.01,0,12,2,partner1,group1,1
