 trialNum,partnerID,intendedName,logL005,probL005,logL05,probL05,logL5,probL5,logS005,probS005,logS05,probS05,logS5,probS5,logL,probL,logS,probS,log,prob
14,3,B,-3.403860578,0.467303749,-4.025262082,0.590028154,-6.070000368,0.530000442,-11.85551407,0.469999997,-8.957032675,0.6,-11.02079298,0.51,-4.499707676,0.529110782,-10.61111324,0.526666666,-7.555410458,0.527888724
15,3,A,-0.561555828,0.670430618,-0.375237728,0.755808989,-0.379681678,0.739896955,-0.367368006,0.735,-0.277258872,0.8,-0.339708504,0.754966917,-0.438825078,0.722045521,-0.328111794,0.763322306,-0.383468436,0.742683913
16,3,B,-0.418772555,0.712748746,-0.318129817,0.783830624,-0.362407223,0.760038171,-0.367368006,0.735,-0.277143752,0.800057893,-0.339609309,0.755016541,-0.366436532,0.752205847,-0.328040355,0.763358145,-0.347238444,0.757781996
17,3,A,-0.370970506,0.747424931,-0.299664087,0.799161374,-0.316438232,0.799313116,-0.366220235,0.735601609,-0.27685547,0.80020672,-0.339113388,0.755272894,-0.329024275,0.781966474,-0.327396364,0.763693741,-0.32821032,0.772830107
18,3,B,-0.345895405,0.757991723,-0.253587032,0.826690613,-0.249889422,0.834337659,-0.345216716,0.747790084,-0.26638851,0.806197329,-0.327362358,0.761979704,-0.283123953,0.806339998,-0.312989195,0.771989039,-0.298056574,0.789164519
19,4,A,-4.400909606,0.493534357,-3.175111698,0.540580653,-0.942093238,0.483663852,-1.890997173,0.487479902,-0.826935905,0.491059763,-0.721661222,0.504508004,-2.839371514,0.505926287,-1.146531433,0.494349223,-1.992951474,0.500137755
20,4,B,-2.940560933,0.460443373,-4.298898638,0.530068145,-6.397391638,0.500000702,-11.87519854,0.54,-13.97660747,0.46,-13.49766264,0.48,-4.54561707,0.496837407,-13.11648955,0.493333333,-8.83105331,0.49508537
21,4,A,-0.633133189,0.652300821,-0.474648719,0.705694487,-0.399429343,0.725319973,-0.318847703,0.77,-0.374299478,0.73,-0.360436534,0.74,-0.50240375,0.694438427,-0.351194571,0.746666667,-0.426799161,0.720552547
22,4,B,-0.425991235,0.705996498,-0.385585052,0.740364573,-0.402044507,0.736615461,-0.318847703,0.77,-0.374299478,0.73,-0.360436534,0.74,-0.404540265,0.727658844,-0.351194571,0.746666667,-0.377867418,0.737162755
23,4,A,-0.391108143,0.726270001,-0.286914314,0.790446203,-0.282246776,0.803779121,-0.318847703,0.77,-0.374299478,0.73,-0.360453089,0.739991729,-0.320089744,0.773498441,-0.35120009,0.74666391,-0.335644917,0.760081176
24,4,B,-0.370444546,0.734939774,-0.305386081,0.795866639,-0.359474155,0.800952244,-0.318408043,0.770223244,-0.372663278,0.730834742,-0.359646232,0.740396985,-0.345101594,0.777252886,-0.350239184,0.747151657,-0.347670389,0.762202271
