 trialNum,partnerID,intendedName,logL005,probL005,logL05,probL05,logL5,probL5,logS005,probS005,logS05,probS05,logS5,probS5,logL,probL,logS,probS,log,prob
1,1,A,-1.792312866,0.502863934,-0.86564063,0.483834782,-0.675468949,0.527976274,-1.969890077,0.496502425,-0.792486028,0.520484364,-0.697127679,0.514396983,-1.111140815,0.504891663,-1.153167928,0.510461257,-1.132154372,0.50767646
2,1,B,-7.020949038,0.470013867,-6.903728799,0.480000109,-4.704526311,0.639999262,-6.713342874,0.480029517,-6.192573756,0.529999617,-6.838819608,0.480000041,-6.209734716,0.530004413,-6.581578746,0.496676391,-6.395656731,0.513340402
3,1,A,-0.39479202,0.730189707,-0.408618313,0.718302477,-0.284079881,0.803935905,-0.41720655,0.725359102,-0.371664678,0.744100428,-0.400703849,0.721235318,-0.362496738,0.750809363,-0.396525026,0.730231616,-0.379510882,0.740520489
4,1,B,-0.455342551,0.726510939,-0.39283481,0.738048729,-0.275585084,0.817791892,-0.401401787,0.735174148,-0.384419782,0.750532281,-0.388164603,0.743136773,-0.374587482,0.760783853,-0.391328724,0.742947734,-0.382958103,0.751865794
5,1,A,-0.330568743,0.806483036,-0.324525535,0.788380616,-0.157393964,0.881219794,-0.291573567,0.804345256,-0.253048056,0.81823317,-0.307721882,0.801104565,-0.270829414,0.825361149,-0.284114502,0.80789433,-0.277471958,0.81662774
6,1,B,-0.249924224,0.833782035,-0.345651941,0.80439271,-0.248526058,0.873881929,-0.307897744,0.822375118,-0.28983577,0.829727929,-0.389829293,0.810135939,-0.281367408,0.837352225,-0.329187602,0.820746329,-0.305277505,0.829049277
7,2,A,-2.680260515,0.575453451,-1.4203489,0.598522884,-0.899920241,0.468169089,-1.612598832,0.495480937,-0.866704654,0.479954266,-0.711820697,0.506921328,-1.666843219,0.547381808,-1.063708061,0.494118844,-1.36527564,0.520750326
8,2,B,-4.132084809,0.560413382,-4.137586545,0.63000399,-6.337874778,0.510000279,-9.060153434,0.460000079,-9.01780648,0.470000002,-6.810597612,0.599999991,-4.869182044,0.566805884,-8.296185842,0.510000024,-6.582683943,0.538402954
9,2,A,-0.40064754,0.746995051,-0.328125918,0.784147469,-0.383625466,0.734336639,-0.375389907,0.729714978,-0.368795892,0.734330373,-0.279557776,0.798866976,-0.370799641,0.75515972,-0.341247858,0.754304109,-0.35602375,0.754731914
10,2,B,-0.388568906,0.766804206,-0.290830834,0.803832372,-0.361481943,0.75709902,-0.37179584,0.731578574,-0.368421753,0.734690293,-0.282294115,0.797586295,-0.346960561,0.775911866,-0.340837236,0.754618387,-0.343898898,0.765265127
11,2,A,-0.28010322,0.799011498,-0.207228733,0.84952312,-0.294429435,0.805541782,-0.346506212,0.74624235,-0.348595955,0.747213389,-0.264367962,0.807554068,-0.260587129,0.818025467,-0.319823376,0.767003269,-0.290205253,0.792514368
12,2,B,-0.301196817,0.806667527,-0.170996855,0.87462038,-0.324913435,0.819590946,-0.37521547,0.768814632,-0.28050612,0.799966731,-0.233626353,0.832695324,-0.265702369,0.833626285,-0.296449314,0.800492229,-0.281075842,0.817059257
13,3,A,-4.43184456,0.45703037,-2.158458633,0.575115145,-0.766646716,0.533050901,-1.563077592,0.513442267,-0.790311411,0.508812717,-0.699255653,0.509302756,-2.452316636,0.521732139,-1.017548218,0.510519247,-1.734932427,0.516125693
