model,speakerAlpha,listenerAlpha,discountFactor,guessingEpsilon, iterationNum, trialNum,                  condition,partnerID,partner,val
Listener,5,5,0.9,0.01,99,1,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,1,1,partner2,group1,0.49776125
Listener,5,5,0.9,0.01,99,1,1,partner2,group2,0.50223875
Listener,5,5,0.9,0.01,99,1,1,partner3,group1,0.5026775
Listener,5,5,0.9,0.01,99,1,1,partner3,group2,0.4973225
Listener,5,5,0.9,0.01,99,1,1,partner4,group1,0.50189375
Listener,5,5,0.9,0.01,99,1,1,partner4,group2,0.49810625
Listener,5,5,0.9,0.01,99,2,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,2,1,partner2,group1,0.50211625
Listener,5,5,0.9,0.01,99,2,1,partner2,group2,0.49788375
Listener,5,5,0.9,0.01,99,2,1,partner3,group1,0.5025325
Listener,5,5,0.9,0.01,99,2,1,partner3,group2,0.4974675
Listener,5,5,0.9,0.01,99,2,1,partner4,group1,0.4991925
Listener,5,5,0.9,0.01,99,2,1,partner4,group2,0.5008075
Listener,5,5,0.9,0.01,99,3,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,3,1,partner2,group1,0.49967
Listener,5,5,0.9,0.01,99,3,1,partner2,group2,0.50033
Listener,5,5,0.9,0.01,99,3,1,partner3,group1,0.4997575
Listener,5,5,0.9,0.01,99,3,1,partner3,group2,0.5002425
Listener,5,5,0.9,0.01,99,3,1,partner4,group1,0.50134625
Listener,5,5,0.9,0.01,99,3,1,partner4,group2,0.49865375
Listener,5,5,0.9,0.01,99,4,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,4,1,partner2,group1,0.50158375
Listener,5,5,0.9,0.01,99,4,1,partner2,group2,0.49841625
Listener,5,5,0.9,0.01,99,4,1,partner3,group1,0.501665
Listener,5,5,0.9,0.01,99,4,1,partner3,group2,0.498335
Listener,5,5,0.9,0.01,99,4,1,partner4,group1,0.49947
Listener,5,5,0.9,0.01,99,4,1,partner4,group2,0.50053
Listener,5,5,0.9,0.01,99,5,1,partner1,group1,1
Listener,5,5,0.9,0.01,99,5,1,partner2,group1,0.49759
