_id,index,name,displayName,startTimeAt,durationInSeconds,roundId,gameId,createdAt,data.log
8sb254CEymKrbQNnZ,0,preview,Avatar and partner assignment,2022-03-14T19:53:23Z,15,FMXeDeeKPwxtPtPqt,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""verb"":""previewStarted"",""roundId"":""preview"",""at"":""2022-03-14T19:53:23.161Z""}"
qxEARMYhg9rwBwH3J,1,selection,Selection,2022-03-14T19:53:39Z,45,FMXeDeeKPwxtPtPqt,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:53:39.173Z""}"
DTc4RrM4zE9DvxwAE,2,selection,Selection,2022-03-14T19:54:06Z,45,XeCCqbSdSwEePv68m,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:54:06.350Z""}"
XuHw8RCHfQXL4g8H5,3,selection,Selection,2022-03-14T19:54:47Z,45,JbfrkS2MdN5LTaB69,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:54:46.760Z""}"
6X8RcugvDfTNeJsPb,4,selection,Selection,2022-03-14T19:55:10Z,45,Pshmx2brMZFiHGEm9,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:55:09.744Z""}"
YDY68QzEnmWvpi2A4,5,selection,Selection,2022-03-14T19:55:51Z,45,hvcYiBMMwY7ZjNphG,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:55:50.753Z""}"
RYzfoRBYmszetN2Xe,6,selection,Selection,2022-03-14T19:56:16Z,45,vSoimJYshf6hCyqjL,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:56:16.146Z""}"
GFGn8JwngAQXrWR7B,7,selection,Selection,2022-03-14T19:56:36Z,45,kR6E9TQNzmgh686RA,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:56:35.550Z""}"
H2Evd2qc3qMEop5Cw,8,selection,Selection,2022-03-14T19:56:52Z,45,NLWyJbfWJCW95uNGZ,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:56:52.365Z""}"
bfMTDH3LEgnQB27yJ,9,selection,Selection,2022-03-14T19:57:23Z,45,w2Tx4Dw5RujHQjXAA,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:08Z,"{""verb"":""selectionStarted"",""roundId"":""selection"",""at"":""2022-03-14T19:57:22.847Z""}"
