_id,index,availableCount,timeoutStartedAt,timedOutAt,queuedPlayerIds,playerIds,gameId,treatmentId,batchId,lobbyConfigId,createdAt
XHMLapYnPukef8v5B,0,4,,,Fxzau53zRbT6HH42g,Fxzau53zRbT6HH42g,,FFXHEZWwcC7Gp96nE,CDc28rK47dLxN56wZ,yjBexQraFcxKmfRcX,2022-03-14T19:42:08Z
tYt2FecFdCFFJoJCd,1,4,,,,,,pFx4EcHCkRk3vLgNK,CDc28rK47dLxN56wZ,yjBexQraFcxKmfRcX,2022-03-14T19:42:08Z
9pNeDtdB5PhfTJGDP,2,4,,,kL89YkgifZ66E3E66,kL89YkgifZ66E3E66,,2azFMhqXmhZrtQ5HM,CDc28rK47dLxN56wZ,yjBexQraFcxKmfRcX,2022-03-14T19:42:08Z
vqhovy7J37xSw4532,3,4,,,sodnu673C7SS8J2HF,sodnu673C7SS8J2HF,,JoStzy8JcPEXGq7Wn,CDc28rK47dLxN56wZ,yjBexQraFcxKmfRcX,2022-03-14T19:42:08Z
AKovWHrpmZRsf7iCD,0,4,,,,,,2azFMhqXmhZrtQ5HM,gF5YSGC3P22syRgNf,yjBexQraFcxKmfRcX,2022-03-14T19:42:13Z
P9TFa9EdNGYY3wR2G,1,4,,,,,,JoStzy8JcPEXGq7Wn,gF5YSGC3P22syRgNf,yjBexQraFcxKmfRcX,2022-03-14T19:42:13Z
wWvbnDzLRM4gNvDHW,2,4,,,,,,FFXHEZWwcC7Gp96nE,gF5YSGC3P22syRgNf,yjBexQraFcxKmfRcX,2022-03-14T19:42:13Z
qhPNib8NvN6KXXdAF,3,4,,,,,,pFx4EcHCkRk3vLgNK,gF5YSGC3P22syRgNf,yjBexQraFcxKmfRcX,2022-03-14T19:42:13Z
kYTgp44BF8LdYRzdA,0,4,,,,,,JoStzy8JcPEXGq7Wn,g4JtiaPYpFzD2Pivq,yjBexQraFcxKmfRcX,2022-03-14T19:42:14Z
C9xgBjEan9dHp2piB,1,4,,,,,,2azFMhqXmhZrtQ5HM,g4JtiaPYpFzD2Pivq,yjBexQraFcxKmfRcX,2022-03-14T19:42:14Z
vjiLwRxGZe6zoasBa,2,4,,,,,,FFXHEZWwcC7Gp96nE,g4JtiaPYpFzD2Pivq,yjBexQraFcxKmfRcX,2022-03-14T19:42:14Z
gGebtmgqxv7zSDz8T,3,4,,,,,,pFx4EcHCkRk3vLgNK,g4JtiaPYpFzD2Pivq,yjBexQraFcxKmfRcX,2022-03-14T19:42:14Z
9sitrbNSaRKm9jGyT,0,4,,,,,,pFx4EcHCkRk3vLgNK,jPm2KpEfbaKaCoxmY,yjBexQraFcxKmfRcX,2022-03-14T19:42:15Z
rWzPxGxKvTvjL8CRp,1,4,,,,,,2azFMhqXmhZrtQ5HM,jPm2KpEfbaKaCoxmY,yjBexQraFcxKmfRcX,2022-03-14T19:42:15Z
xXLrccqzvNXe3AAXy,2,4,,,,,,JoStzy8JcPEXGq7Wn,jPm2KpEfbaKaCoxmY,yjBexQraFcxKmfRcX,2022-03-14T19:42:15Z
AcCoDGdBBnZZL8PnE,3,4,,,,,,FFXHEZWwcC7Gp96nE,jPm2KpEfbaKaCoxmY,yjBexQraFcxKmfRcX,2022-03-14T19:42:15Z
