_id,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
CDc28rK47dLxN56wZ,complete,false,2022-03-14T19:42:17Z,,cancelled,,"XHMLapYnPukef8v5B,tYt2FecFdCFFJoJCd,9pNeDtdB5PhfTJGDP,vqhovy7J37xSw4532",2022-03-14T19:42:08Z,2022-03-14T19:47:56Z
gF5YSGC3P22syRgNf,complete,false,2022-03-14T19:42:18Z,,cancelled,,"AKovWHrpmZRsf7iCD,P9TFa9EdNGYY3wR2G,wWvbnDzLRM4gNvDHW,qhPNib8NvN6KXXdAF",2022-03-14T19:42:12Z,2022-03-14T19:47:57Z
g4JtiaPYpFzD2Pivq,complete,false,2022-03-14T19:42:19Z,,cancelled,,"kYTgp44BF8LdYRzdA,C9xgBjEan9dHp2piB,vjiLwRxGZe6zoasBa,gGebtmgqxv7zSDz8T",2022-03-14T19:42:14Z,2022-03-14T19:47:58Z
jPm2KpEfbaKaCoxmY,complete,false,2022-03-14T19:42:19Z,,cancelled,,"9sitrbNSaRKm9jGyT,rWzPxGxKvTvjL8CRp,xXLrccqzvNXe3AAXy,AcCoDGdBBnZZL8PnE",2022-03-14T19:42:15Z,2022-03-14T19:47:59Z
N3fqsmfYZZ8NewWe2,simple,true,2022-03-14T19:48:27Z,2022-03-14T20:03:43Z,finished,,6y5Rp4rKkZiuGBm2p,2022-03-14T19:48:05Z,2022-03-14T20:11:22Z
kKQfvNBBioWAerRWH,simple,false,2022-03-14T19:48:28Z,,cancelled,,2YZifNoFWYxHFmD7r,2022-03-14T19:48:13Z,2022-03-14T20:11:23Z
Xp9ZhtDduZAmKqexT,simple,false,2022-03-14T19:48:28Z,,cancelled,,LAs6MQSJPD3vi25m6,2022-03-14T19:48:19Z,2022-03-14T20:11:23Z
gWMwrQdwcbRQfvdnQ,simple,false,2022-03-14T19:48:29Z,,cancelled,,B5zvQcNTCcQub4Gsr,2022-03-14T19:48:25Z,2022-03-14T20:11:24Z
uB9AYsFLbPAjMvAYm,simple,false,2022-03-14T19:48:44Z,,cancelled,,gsci8bvmPyFdnfRbr,2022-03-14T19:48:40Z,2022-03-14T20:11:25Z
sy6YzH6EkQZaxdzBn,simple,false,2022-03-14T19:48:44Z,,cancelled,,HExCGgicf4QP5fN8e,2022-03-14T19:48:41Z,2022-03-14T20:11:26Z
etSWd3sWm7BLNaKyt,simple,false,2022-03-14T19:48:45Z,,cancelled,,FscBAkJR9jprNHK3L,2022-03-14T19:48:42Z,2022-03-14T20:11:26Z
ykS5wcyjddPbyPGMs,simple,false,2022-03-14T19:48:46Z,,cancelled,,LEs89p838hWCd4sMR,2022-03-14T19:48:43Z,2022-03-14T20:11:26Z
iCJthBJpsfnPSTTXi,simple,true,2022-03-14T20:11:38Z,2022-03-14T20:25:24Z,finished,,wTiH3nuga3FJSTn6x,2022-03-14T20:11:36Z,2022-05-12T19:25:24Z
JFwTxyu7r4vE5BahN,simple,false,,,cancelled,,Fcz2eKDdAxC28ThTg,2022-05-06T17:06:08Z,2022-05-12T19:25:23Z
DYvTMhxD53PFatRvs,complete,false,,,cancelled,,"bpCYE8T2ci8Y37Yc8,muhKoPEGt8SPFfDKB,sCAisBBAd4Awevv5o,cAP76xHLtkX9MkLXz",2022-05-12T19:25:43Z,2022-05-25T20:47:29Z
CeeJ25dTnSpe2R59v,complete,false,,,cancelled,,"sbLnB33d2E9Req4Ly,BdiC8ToE4Nmdkn5zr,rDjF8Jm3sQZjEFX7b,88wxpKL39ug3n6WxS",2022-05-12T19:25:46Z,2022-05-25T20:47:30Z
mTFno4tX26SWH4cRu,complete,false,,,cancelled,,"Hqxt3fCsmahZibxHB,CRKggDPX7ayWfHaAW,c4H3g8g4KbGhRqXhb,HmGmzJctnmfeHdbpy",2022-05-12T19:25:47Z,2022-05-25T20:47:30Z
bAm2mLC2xcyWzcnfa,complete,false,,,cancelled,,"aaiBaBAJb7gtDfM75,23mAzynXyY3e9bFQP,vCWDngTaY5DxpMufX,oLinPZoMmh7ixLDso",2022-05-12T19:25:48Z,2022-05-25T20:47:30Z
