_id,name,value,factorTypeId,createdAt
LCPL67GcDLnC7kpX4,duo,2,k7HHcQnKM4zYGgPdC,2022-03-14T19:41:05Z
9mWDEEbPMz8J8oWxh,quad,4,k7HHcQnKM4zYGgPdC,2022-03-14T19:41:05Z
dwfYRz6EK4FE9iNcR,four,4,BBRoq5WHnzs4qpWew,2022-03-14T19:41:05Z
LYqRqNsuy3tZGcu7x,red,red,yZ9EAzrPfAEKk96kr,2022-03-14T19:41:06Z
QEbiEZHHkAaEDEo3q,blue,blue,yZ9EAzrPfAEKk96kr,2022-03-14T19:41:06Z
H6mfXThg4jQ2annbb,minute,60,kJddTH8X4Y6Df7SPA,2022-03-14T19:41:06Z
sLBbCyDZv74ZsrtYE,solo,1,k7HHcQnKM4zYGgPdC,2022-03-14T19:41:06Z
GSmgoGszjTjH6mWNu,targetSet,setA,kJddTH8X4Y6Df7SPA,2022-03-14T19:41:06Z
5G2PioQghwMMQaiDA,setA,setA,2DXSSGGZYk9nTsqfw,2022-03-14T19:41:06Z
T3s4h67DrihbRNpQS,setB,setB,2DXSSGGZYk9nTsqfw,2022-03-14T19:41:06Z
PhWBYRyqGv7hpZbKm,prolificPilot,3B021164,oTmtc6KmQb77CaDTC,2022-03-14T19:41:07Z
zAoBH7r4FvddSqPJc,45,45,kJddTH8X4Y6Df7SPA,2022-03-14T19:41:07Z
rhscQgvo8fw8SFRk3,one,1,BBRoq5WHnzs4qpWew,2022-03-14T20:08:01Z
nqhEFf4RJ3SCAyQDc,prolificCode,840D5AA8,oTmtc6KmQb77CaDTC,2022-05-12T19:24:25Z
qrSzxQ8Dp2g9iNBd9,prolificCode,12345,oTmtc6KmQb77CaDTC,2022-05-25T19:54:21Z
594eNZsFcoNjbM72Z,prolificCode,1234,oTmtc6KmQb77CaDTC,2022-05-25T19:54:46Z
rznZbDz4tNTf9Po5T,AB12,AB12,oTmtc6KmQb77CaDTC,2022-05-25T19:54:50Z
aD3FQ3BsK2N665oF6,3B0211641,3B0211641,oTmtc6KmQb77CaDTC,2022-05-25T19:55:13Z
wNjgjXBGDMzfBTS5K,asdf,3B021164B,oTmtc6KmQb77CaDTC,2022-05-25T20:40:19Z
JeCE8h6raxy7fwxna,prolificReplication,BF02A501,oTmtc6KmQb77CaDTC,2022-05-25T20:45:14Z
