_id,playerId,gameId,createdAt,data.tangram,data.group,data.ownGroup,data.id,data.text,data.loadingNextRound,data.community,data.engaged,data.correctness,data.english,data.human,data.newpartner,data.strategy,data.fair,data.feedback,data.satisfied,data.workedWell,data.perspective,data.chatComfort,data.chatUseful,data.events,data.recipientGroup
WJM2AzyfdEWBQk8bT,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:09Z,/experiment/tangram_H.png,blue,blue,blueH,the nug,true,,,,,,,,,,,,,,,,
oaLqvrjTosEK9EihD,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:12Z,/experiment/tangram_A.png,blue,blue,blueA,xcbvxcvbxcvb,true,,,,,,,,,,,,,,,,
GfwrArsupgo7yb42E,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:15Z,/experiment/tangram_G.png,blue,blue,blueG,the don quixote,true,,,,,,,,,,,,,,,,
9PJjB6xeHFMyEWvYX,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:16Z,/experiment/tangram_D.png,blue,blue,blueD,retert,true,,,,,,,,,,,,,,,,
C8Kzuxiwr5dKFHa6N,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:19Z,/experiment/tangram_B.png,blue,blue,blueB,cvbncvbncbvn,true,,,,,,,,,,,,,,,,
Zv4DhvCh3ZYBqZ7i9,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:20Z,/experiment/tangram_E.png,blue,blue,blueE,rabbit,true,,,,,,,,,,,,,,,,
2mw693jZk3QkCJ3XK,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:23Z,/experiment/tangram_C.png,blue,blue,blueC,hi,true,,,,,,,,,,,,,,,,
QdWmJ8CQdWMF4SZxi,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:26Z,/experiment/tangram_F.png,blue,blue,blueF,sad man,true,,,,,,,,,,,,,,,,
qaLMxerMt63Sa5DYk,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:28Z,/experiment/tangram_G.png,blue,blue,blueG,idk,true,,,,,,,,,,,,,,,,
5qEcwTQG42AxfafPS,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:32Z,/experiment/tangram_C.png,blue,blue,blueC,woohoo guy,true,,,,,,,,,,,,,,,,
3eZRTzWWzaJDzSfWG,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:34Z,/experiment/tangram_F.png,blue,blue,blueF,L09 ,true,,,,,,,,,,,,,,,,
D2g6qCyWKL7NKjqjF,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:37Z,/experiment/tangram_B.png,blue,blue,blueB,no idea,true,,,,,,,,,,,,,,,,
sfd8bj43BNFC2hgBc,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:38Z,/experiment/tangram_H.png,blue,blue,blueH,bxcvbxcv,true,,,,,,,,,,,,,,,,
NzKdeocZojdsqHsce,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:26:43Z,/experiment/tangram_E.png,blue,blue,blueE,bunny,true,,,,,,,,,,,,,,,,
SBMrHjo8v4FDqxFFR,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:26:57Z,/experiment/tangram_D.png,blue,blue,blueD,handing out something,true,,,,,,,,,,,,,,,,
ifRATdPAFsagPHyX4,gemMBe7e7LSbcNFp6,wTiH3nuga3FJSTn6x,2022-03-14T20:27:03Z,/experiment/tangram_A.png,blue,blue,blueA,falling,true,,,,,,,,,,,,,,,,
Y8Rh48a3PHQX6AhE7,LzECgNJgcnwDJXWQu,wTiH3nuga3FJSTn6x,2022-03-14T20:27:03Z,,,,,,,red,10,no,no,no,no,,no,no,veryDissatisfied,stronglyDisagree,,,no,,
p6p9eNWbkgoAkxHrx,JsXWYDvoKGWMNwwPf,wTiH3nuga3FJSTn6x,2022-03-14T20:27:12Z,/experiment/tangram_D.png,blue,blue,blueD,zcvzcvzxcv,true,,,,,,,,,,,,,,,,
PzudK9dCYHM9ohB34,JsXWYDvoKGWMNwwPf,wTiH3nuga3FJSTn6x,2022-03-14T20:27:16Z,/experiment/tangram_B.png,blue,blue,blueB,werwer,true,,,,,,,,,,,,,,,,
eKbgXksYqzsABMdwr,JsXWYDvoKGWMNwwPf,wTiH3nuga3FJSTn6x,2022-03-14T20:27:19Z,/experiment/tangram_C.png,blue,blue,blueC,xcvbxcvb,true,,,,,,,,,,,,,,,,
