_id,index,stageIds,gameId,createdAt,data.target,data.numTrials,data.trialNum,data.numPartners,data.partnerNum,data.repNum,data.chat,data.room0response,data.room0correct,data.room1response,data.room1correct
XeCCqbSdSwEePv68m,1,DTc4RrM4zE9DvxwAE,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_A.png""}",16,1,3,0,0,"{""text"":""hi"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""},{""text"":""which one?"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""listener""},{""text"":""idk"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""},{""text"":""haha"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""listener""},{""text"":""dfgd"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",/experiment/tangram_A.png,true,/experiment/tangram_B.png,false
vSoimJYshf6hCyqjL,5,RYzfoRBYmszetN2Xe,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_A.png""}",16,5,3,0,1,"{""text"":""zxcvljk"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""},{""text"":""sdfg"",""playerId"":""hmxukt3H7duLkzSer"",""roomId"":""room0"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""}",/experiment/tangram_B.png,false,/experiment/tangram_A.png,true
FMXeDeeKPwxtPtPqt,0,"8sb254CEymKrbQNnZ,qxEARMYhg9rwBwH3J",6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_B.png""}",16,0,3,0,0,"{""text"":""asdfasdfasdf"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""sdfgsdfg"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""hello?"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_B.png"",""role"":""listener""}",/experiment/tangram_C.png,true,/experiment/tangram_A.png,false
JbfrkS2MdN5LTaB69,2,XuHw8RCHfQXL4g8H5,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_D.png""}",16,2,3,0,0,"{""text"":""lvkcjvz;lxkcjv"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_D.png"",""role"":""listener""},{""text"":""dsfg"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""},{""text"":"":("",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_D.png"",""role"":""listener""},{""text"":""hi"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""},{""text"":""B-)"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""}",/experiment/tangram_C.png,false,/experiment/tangram_C.png,false
Pshmx2brMZFiHGEm9,3,6X8RcugvDfTNeJsPb,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_C.png""}",16,3,3,0,0,"{""text"":""hi"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""hi"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""sdfg"",""playerId"":""hmxukt3H7duLkzSer"",""roomId"":""room0"",""target"":""/experiment/tangram_B.png"",""role"":""listener""}",/experiment/tangram_D.png,false,/experiment/tangram_D.png,false
hvcYiBMMwY7ZjNphG,4,YDY68QzEnmWvpi2A4,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_C.png""}",16,4,3,0,1,"{""text"":""hi"",""playerId"":""hmxukt3H7duLkzSer"",""roomId"":""room0"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""hi"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_C.png"",""role"":""listener""},{""text"":""the winged guy"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""}",/experiment/tangram_D.png,false,/experiment/tangram_B.png,false
kR6E9TQNzmgh686RA,6,GFGn8JwngAQXrWR7B,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_D.png""}",16,6,3,0,1,"{""text"":""hello"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""},{""text"":""dhfgh"",""playerId"":""hmxukt3H7duLkzSer"",""roomId"":""room0"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""}",/experiment/tangram_A.png,false,/experiment/tangram_A.png,false
Tn9p2SaXYLoxTGRhz,9,FhT67EWwkeSp8ou3N,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_A.png""}",16,9,3,0,2,"{""text"":""fsdgf"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""cvbn"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",/experiment/tangram_C.png,true,/experiment/tangram_D.png,false
Po9q2Zs7mggiRzu8S,11,nL3cMMd2uThqDF99F,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_B.png""}",16,11,3,0,2,"{""text"":""asdfasdf"",""playerId"":""YKimzGgQgqm9xQZ8m"",""roomId"":""room1"",""target"":""/experiment/tangram_B.png"",""role"":""speaker""},{""text"":""werer"",""playerId"":""ENoBr3KunDxjehHYM"",""roomId"":""room0"",""target"":""/experiment/tangram_A.png"",""role"":""speaker""}",/experiment/tangram_D.png,false,/experiment/tangram_C.png,false
ccS8meuzJR3epGNEF,14,DtD4CqYEBRJbKMCkB,6y5Rp4rKkZiuGBm2p,2022-03-14T19:53:07Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_C.png""}",16,14,3,0,3,"{""text"":""asdlf ja;lsdkfj"",""playerId"":""ZiLSRSfQR66ZtA7uZ"",""roomId"":""room1"",""target"":""/experiment/tangram_C.png"",""role"":""speaker""},{""text"":""sdfg"",""playerId"":""hmxukt3H7duLkzSer"",""roomId"":""room0"",""target"":""/experiment/tangram_D.png"",""role"":""speaker""}",/experiment/tangram_D.png,true,/experiment/tangram_A.png,false
