_id,name,timeoutType,timeoutInSeconds,timeoutStrategy,timeoutBots,extendCount,createdAt,archivedAt
AtakYYkoKfGRZekTc,lobby,lobby,300,fail,,,2022-03-14T19:41:08Z,2021-01-20T10:15:45Z
yjBexQraFcxKmfRcX,individual_lobby,individual,300,fail,,2,2022-03-14T19:41:08Z,
