_id,name,factorIds,createdAt,archivedAt
JoStzy8JcPEXGq7Wn,team_redA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,PhWBYRyqGv7hpZbKm",2022-03-14T19:41:07Z,2022-05-12T19:24:31Z
FFXHEZWwcC7Gp96nE,team_redB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,PhWBYRyqGv7hpZbKm",2022-03-14T19:41:08Z,2022-05-12T19:24:31Z
2azFMhqXmhZrtQ5HM,team_blueA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,PhWBYRyqGv7hpZbKm",2022-03-14T19:41:08Z,2022-05-12T19:24:32Z
pFx4EcHCkRk3vLgNK,team_blueB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,PhWBYRyqGv7hpZbKm",2022-03-14T19:41:08Z,2022-05-12T19:24:32Z
6NkXXzCEQowuzCcgB,demo,"9mWDEEbPMz8J8oWxh,rhscQgvo8fw8SFRk3,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,PhWBYRyqGv7hpZbKm",2022-03-14T20:11:09Z,2022-05-12T19:24:32Z
PzTZRkNKMqF6ZAisw,BlueA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,nqhEFf4RJ3SCAyQDc",2022-05-12T19:24:45Z,2022-05-25T20:45:18Z
GyCsNvfQsWDpWpcck,BlueB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,nqhEFf4RJ3SCAyQDc",2022-05-12T19:24:56Z,2022-05-25T20:45:19Z
LjrooCYmXufxTjgm8,RedA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,nqhEFf4RJ3SCAyQDc",2022-05-12T19:25:08Z,2022-05-25T20:45:19Z
dKwra2nXhXxLfZjpd,RedB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,nqhEFf4RJ3SCAyQDc",2022-05-12T19:25:17Z,2022-05-25T20:45:19Z
z63TAgyEqoeEdej75,Blue_SetA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,JeCE8h6raxy7fwxna",2022-05-25T20:45:57Z,
MBgiE2nGZbeiN3eAq,Blue_SetB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,QEbiEZHHkAaEDEo3q,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,JeCE8h6raxy7fwxna",2022-05-25T20:46:10Z,
jBgvfqzYXmGMGeQQP,Red_SetA,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,5G2PioQghwMMQaiDA,JeCE8h6raxy7fwxna",2022-05-25T20:46:26Z,
cf373CqcTAgv6soYx,Red_SetB,"9mWDEEbPMz8J8oWxh,dwfYRz6EK4FE9iNcR,LYqRqNsuy3tZGcu7x,zAoBH7r4FvddSqPJc,T3s4h67DrihbRNpQS,JeCE8h6raxy7fwxna",2022-05-25T20:46:38Z,
