gameId,trialNum,partnerNum,repNum,roomId,tangram,text,total_num_words,total_num_chars,listener,speaker
76iJQ4QXdyAcYKseZ,0,0,0,room0,B,"It looks like someone is praying, no",7,34,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,0,1,0,room0,A,"dancer with hump, looking on the ground, lifting one leg",10,52,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,0,1,0,room1,C,"the one who looks like goalkeeper, he looks like goalkeeper, who want to save the goal",16,82,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,0,2,0,room0,B,"like a dog on the ground, with bow on the head, kneeling",12,52,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,0,2,0,room1,D,"praying maybe, arms in front, looks like a standing prayer, boy",11,57,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,1,0,0,room0,D,"standing prayer, correct",3,22,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,1,0,0,room1,C,"the one that have a shape like a person, he looks like he is",14,58,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,1,1,0,room0,B,"like a dog with a bow, on the head, dog sitting wth bow",13,51,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,1,1,0,room1,D,"ok, the one who looks like he is standing, and praying, ",12,50,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,1,2,0,room0,D,"standing person, frond arms, front, like praying, with extended arms",10,60,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,1,2,0,room1,C,"arms open, like flying",4,20,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,2,0,0,room0,A,"standing dancer, with humps",4,25,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,2,0,0,room1,A,the one that is like a penguin,7,30,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,2,1,0,room0,D,"stangind prayer, standing, with arms infront, no",7,42,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,2,1,0,room1,B,ok the one kneeling,4,19,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,2,2,0,room0,C,"like goalkeeper, flying arms open",5,31,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,2,2,0,room1,B,"on the ground, girl or dog, maybe praying up",9,40,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,3,0,0,room0,C,"like a goalkeeper, falling on the ground, good",8,42,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,3,0,0,room1,D,"parece que tiene una mochila en la espalda, a bbackpack in his shoulder",13,69,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,3,1,0,room0,C,"like a goalkeepr, open arms, like a goal keeper",9,43,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,3,1,0,room1,A,"the one, who looks like he is drunk, and dancing, drunk dacner",12,56,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,3,2,0,room0,A,"like dancing, one leg up, with hump, good",8,35,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,3,2,0,room1,A,"weirdst one, ok, no worries",5,23,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,4,0,1,room0,A,"the one dancing, i will go with the same way u did, goalkeeper prayers and dancer",16,77,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,4,0,1,room1,D,"looks like a prest, has a square for head, looks like it has a toal in the hands",18,76,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,4,1,1,room0,D,"prayer, arms in front",4,19,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,4,1,1,room1,B,the one is praying,4,18,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,4,2,1,room0,B,"the one that looks, like he is praying, kneeling",9,44,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,4,2,1,room1,B,sitting one,2,11,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,5,0,1,room0,B,"the one praying, but not standing, nice",7,35,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,5,0,1,room1,B,"looks like is praying, down",5,25,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,5,1,1,room0,B,"like dog, down on the ground",6,26,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,5,1,1,room1,C,the one that is flying,5,22,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,5,2,1,room0,C,looks like it's flying,5,22,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,5,2,1,room1,C,flying one,2,10,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,6,0,1,room0,D,"the on praying, and standing",5,26,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,6,0,1,room1,C,"looks like its flying, arms open",6,30,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,6,1,1,room0,C,"arms open, flying",3,15,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,6,1,1,room1,D,"the one who is kneeling, and you said, that is praying, :(",13,52,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,6,2,1,room0,D,he have a backpack,4,18,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,6,2,1,room1,D,"like, the standing one, and praying",6,31,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,7,0,1,room0,C,"goalkeepr, again",2,14,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,7,0,1,room1,A,"like is about to walk, the weirdst, looks like it has wings",12,55,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,7,1,1,room0,A,"the weirdst, leg up, dancing maybe",6,30,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,7,1,1,room1,A,is drunk dancing,3,16,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,7,2,1,room0,A,"he is drunk and dancing, and have, a, hump",9,36,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,7,2,1,room1,A,"drunk dancer, xD",3,14,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,8,0,2,room0,C,"goalkeeper, again, good",3,19,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,8,0,2,room1,D,"parece, que tiene, backpach, el que esta sentado, o, no, abbajo, sii",12,54,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,8,1,2,room0,A,weird dancer leg up,4,19,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,8,1,2,room1,B,the one praying,3,15,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,8,2,2,room0,D,"backpack, standing",2,16,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,8,2,2,room1,A,"drunk dancer, leg up",4,18,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,9,0,2,room0,B,kneeling prayer,2,15,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,9,0,2,room1,C,is flying,2,9,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,9,1,2,room0,B,"dog on the ground, with bow",6,25,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,9,1,2,room1,A,drunk dancer,2,12,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,9,2,2,room0,B,"kneeling dog, with bow, kneeling dog, with bow",8,40,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,9,2,2,room1,D,"standing one´, praying",4,20,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,10,0,2,room0,A,dancer,1,6,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,10,0,2,room1,B,is praying,2,10,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,10,1,2,room0,C,goalkeeper flying arms open,4,27,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,10,1,2,room1,C,flying,1,6,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,10,2,2,room0,A,drunk dancer,2,12,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,10,2,2,room1,B,"sitting, girl or dog",4,18,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,11,0,2,room0,D,standing prayer,2,15,up6Jjy6x3SYuzkRrC,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,11,0,2,room1,A,"wing, have wings",3,14,sK8r54bPtKtwfCyE7,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,11,1,2,room0,D,"staning prayer, arms infront",4,26,sK8r54bPtKtwfCyE7,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,11,1,2,room1,D,"the one kneeling, r",4,17,gR2G6xLFF4jLsksxJ,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,11,2,2,room0,C,flying arms open,3,16,gR2G6xLFF4jLsksxJ,NiKAGZngti7bqNjn2
76iJQ4QXdyAcYKseZ,11,2,2,room1,C,"arms open, flying",3,15,up6Jjy6x3SYuzkRrC,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,12,0,3,room0,A,dancer,1,6,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,12,0,3,room1,A,"wings, weirdst one",3,16,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,12,1,3,room0,D,"standing prayer, arms in front",5,28,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,12,1,3,room1,A,"the drunk, dancing",3,16,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,12,2,3,room0,C,"flying, you get it",4,16,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,12,2,3,room1,B,sitting,1,7,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,13,0,3,room0,C,goalkeeper,1,10,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,13,0,3,room1,D,"backpack, backpack, mochila, mochila",4,30,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,13,1,3,room0,C,"arms open, flying, goalkeeper",4,25,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,13,1,3,room1,C,flying,1,6,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,13,2,3,room0,B,yes,1,3,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,13,2,3,room1,C,flying,1,6,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,14,0,3,room0,B,kneeling prayer,2,15,NiKAGZngti7bqNjn2,up6Jjy6x3SYuzkRrC
76iJQ4QXdyAcYKseZ,14,0,3,room1,B,looks like its praying,4,22,gR2G6xLFF4jLsksxJ,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,14,1,3,room0,A,"looks like is dancing, leg up, head looking the ground",10,50,NiKAGZngti7bqNjn2,sK8r54bPtKtwfCyE7
76iJQ4QXdyAcYKseZ,14,1,3,room1,B,"praying, and, kneeking",3,18,up6Jjy6x3SYuzkRrC,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,14,2,3,room0,D,"the one that have a backpack, but, okey",8,35,NiKAGZngti7bqNjn2,gR2G6xLFF4jLsksxJ
76iJQ4QXdyAcYKseZ,14,2,3,room1,A,drunk dancer,2,12,sK8r54bPtKtwfCyE7,up6Jjy6x3SYuzkRrC
