_id,playerId,gameId,createdAt,data.tangram,data.group,data.id,data.text,data.loadingNextRound,data.community,data.engaged,data.correctness,data.english,data.human,data.newpartner,data.strategy,data.fair,data.feedback,data.satisfied,data.workedWell,data.perspective,data.chatComfort,data.chatUseful,data.events,data.ownGroup
TnP7re6CL7N7oMgyD,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:28:30Z,/experiment/tangram_E.png,red,redE,The one with bunny ears looking down,true,,,,,,,,,,,,,,,,
eKiCrSXvY5cQbeGgx,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:28:39Z,/experiment/tangram_H.png,red,redH,It looks like it's standing up with no arms,true,,,,,,,,,,,,,,,,
TQg5GeCNejGCviqz8,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:28:42Z,/experiment/tangram_F.png,red,redF,Guy looking down with bent legs,true,,,,,,,,,,,,,,,,
wtgk4D8Q9KmbD6gwk,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:28:49Z,/experiment/tangram_H.png,red,redH,"No limbs, standing up",true,,,,,,,,,,,,,,,,
SThmTAS5onWgSqMxs,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:05Z,/experiment/tangram_G.png,red,redG,It looks like a lady in a dress or a guy looking down with a cowl behind his head,true,,,,,,,,,,,,,,,,
N7sC9JGPGaaMave5m,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:08Z,/experiment/tangram_G.png,red,redG,The one with wings or a lady in a dress looking up,true,,,,,,,,,,,,,,,,
MZZBshzdEydRJnxqB,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:18Z,/experiment/tangram_E.png,red,redE,It looks like a guy with bunny ears,true,,,,,,,,,,,,,,,,
jetvQSkGtgj82rAsS,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:24Z,/experiment/tangram_E.png,blue,blueE,The one with bunny ears looking down,true,,,,,,,,,,,,,,,,
6rpugJvwBAiZv8i28,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:35Z,/experiment/tangram_F.png,blue,blueF,"The guy sitting, looking down on his knees with toes pointing up.",true,,,,,,,,,,,,,,,,
ZEMEDh6Bwvf7DrA9M,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:36Z,/experiment/tangram_F.png,red,redF,It looks like a guy sitting with his knees bent and toes up,true,,,,,,,,,,,,,,,,
iPeDSYR656QfNuYBk,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:38Z,/experiment/tangram_G.png,blue,blueG,"The one with wings, or the lady with a dress looking up",true,,,,,,,,,,,,,,,,
6TgF3L5sduBQmnQJ4,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:45Z,/experiment/tangram_H.png,blue,blueH,"No limbs, standing up",true,,,,,,,,,,,,,,,,
zMGKWJ5BiygBjyhma,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:55Z,/experiment/tangram_F.png,blue,blueF,Guy looking down with bent legs,true,,,,,,,,,,,,,,,,
app8avJqfLbxjrHth,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:29:58Z,/experiment/tangram_G.png,blue,blueG,It looks like a lady in a dress dancing and looking up.,true,,,,,,,,,,,,,,,,
mmyYZGRrWr4LazuMJ,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:06Z,/experiment/tangram_G.png,blue,blueG,It looks like a lady in a dress/ guy looking down with a cowl behind his head,true,,,,,,,,,,,,,,,,
kWc3mv3ZawydaMHAk,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:18Z,/experiment/tangram_E.png,blue,blueE,Looks like a bunny looking down,true,,,,,,,,,,,,,,,,
PDCRCKMqj4nejTNwN,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:18Z,/experiment/tangram_F.png,blue,blueF,It looks like a seated guy with his knees bent ,true,,,,,,,,,,,,,,,,
DSpw9r42T24y6DMMo,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:28Z,/experiment/tangram_F.png,blue,blueF,It looks like a guy looking down with his knees bent and toes up,true,,,,,,,,,,,,,,,,
CsGQ9FjtkgkBpa53c,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:41Z,/experiment/tangram_H.png,blue,blueH,It looks like a person standing with no limbs ,true,,,,,,,,,,,,,,,,
5ma62qmN2rLD2G8Zq,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:45Z,/experiment/tangram_H.png,blue,blueH,It looks like a guy standing up with no arms / a necktie,true,,,,,,,,,,,,,,,,
niKfdfsMtAXZzy8pv,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:54Z,/experiment/tangram_E.png,blue,blueE,It looks like a guy with bunny ears,true,,,,,,,,,,,,,,,,
2qGWDsdCdqRp3annp,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:55Z,/experiment/tangram_H.png,blue,blueH,"Guy with no limbs. No hands, no toes, no legs.",true,,,,,,,,,,,,,,,,
Bi59M5ditjzAYPyhk,2eNPh5LGm7jXnnpGe,sk5gBTnjtG8qRHJQ7,2021-01-19T03:30:56Z,,,,,,red,10,yes,no,yes,yes,I found an specific shape the others didn't have and went from there,Yes,Not at all,verySatisfied,stronglyAgree,,,Yes,,
ijxByNAukYFrStAvg,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:07Z,/experiment/tangram_G.png,blue,blueG,This one looks like a lady in a dress dancing,true,,,,,,,,,,,,,,,,
eedtiyovmTv7Lfdf7,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:24Z,/experiment/tangram_E.png,red,redE,A person with bunny ears looking down,true,,,,,,,,,,,,,,,,
vn3iXKTYMMLBxBgtm,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:33Z,/experiment/tangram_E.png,blue,blueE,It looks like someone with bunny ears ,true,,,,,,,,,,,,,,,,
999v3a8Kcnu3fGbey,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:48Z,/experiment/tangram_G.png,red,redG,"A lady in a dress dancing while looking up\n",true,,,,,,,,,,,,,,,,
cg6b2Tb4XSRSaQuqi,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:55Z,/experiment/tangram_G.png,red,redG,A lady in a dress dancing,true,,,,,,,,,,,,,,,,
FGKFRq4prDgmdcaZd,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:31:57Z,/experiment/tangram_H.png,red,redH,Guy with no limbs.,true,,,,,,,,,,,,,,,,
X3Afexc9YfFcRzGD5,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:32:14Z,/experiment/tangram_E.png,red,redE,it looks like someone with bunny ears,true,,,,,,,,,,,,,,,,
yeqJhn9gi9Gxk7i7a,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:32:26Z,/experiment/tangram_F.png,red,redF,A guy looking down on his knees. He has toes.,true,,,,,,,,,,,,,,,,
N2wjHw8pDqhcQ42SA,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:32:45Z,/experiment/tangram_F.png,red,redF,It looks like a guy looking at his knees ,true,,,,,,,,,,,,,,,,
ASy6zdRz9jRHbwxGj,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:32:59Z,/experiment/tangram_H.png,red,redH,a person standing with no limbs,true,,,,,,,,,,,,,,,,
5wK7oh349tbLfkxFJ,Y8Mipb594KHctiavA,sk5gBTnjtG8qRHJQ7,2021-01-19T03:33:19Z,,,,,,red,9,yes,no,yes,yes,"When I first start with a new player I just try to be as descriptive as possible to make sure they understand, then once we understand each other views on what these figures represent we can just use few words to guess the correct one",I think so,I've noticed some problems with the webpage sometimes loading with an incorrect response at the start of the game,verySatisfied,stronglyAgree,,,Yes,,
rbzBETtAtugj34zun,NDNFrAcsffRny3mub,sk5gBTnjtG8qRHJQ7,2021-01-19T03:35:54Z,,,,,,red,5,yes,no,yes,yes,Get the same definitions of the Tamagrams in the first 4 rounds and then we just repeat what we already agreed on what the picture represented.,I think so.,After answering correctly (on average) we had to wait like 20 seconds for the next rounds. It's too long.,verySatisfied,stronglyAgree,,,"Very easy, although it had a big lag.",,
RGQu4ZDkhjr7XFP6r,NK5YRSkt8sdpkc3rC,sk5gBTnjtG8qRHJQ7,2021-01-19T03:39:32Z,,,,,,red,9,yes,no,yes,yes,"I don't know how i would describe my strategy, the images were very easy to guess and describe.",Yes,Sometimes the option i selected would appear as correct at first but then just before it went to the next round it appeared as incorrect. I don't know what's going on there.,verySatisfied,stronglyAgree,,,Yes,,
GHHNimBNwXdEXSJwk,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:38:32Z,/experiment/tangram_H.png,blue,blueH,the object looks like egg with square on top and triangle on right,true,,,,,,,,,,,,,,,,blue
fx9thLwgcAdwQKv7B,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:38:59Z,/experiment/tangram_G.png,blue,blueG,"the object with square on top left and traingle on botton right\n",true,,,,,,,,,,,,,,,,blue
XQbTASsCxK8GbThPt,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:39:16Z,/experiment/tangram_F.png,blue,blueF,"the object looks like sitting person, looking at right",true,,,,,,,,,,,,,,,,blue
M6NJdcianzr6fCM9Q,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:39:38Z,/experiment/tangram_E.png,blue,blueE,the object looks like sitting bunny looking at right,true,,,,,,,,,,,,,,,,blue
PecEqW5q3qoxLM3AF,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:40:02Z,/experiment/tangram_H.png,red,redH,the objects looks like egg with square on top and triangle on left,true,,,,,,,,,,,,,,,,blue
DsoCmnNaiRwY5Hk8i,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:40:12Z,/experiment/tangram_E.png,red,redE,the object looks like sitting bunny,true,,,,,,,,,,,,,,,,blue
q23mmwo3ZMSjWkDud,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:40:33Z,/experiment/tangram_G.png,red,redG,the object with square on top left and bottom right,true,,,,,,,,,,,,,,,,blue
uxZ5pC9MrFRPraZY5,zovPTHp6eJ9BBeYTq,RDgKYeAz6mx4xRhrW,2021-01-20T23:40:48Z,/experiment/tangram_F.png,red,redF,the object looks like sitting person,true,,,,,,,,,,,,,,,,blue
faqrLEyp5E5ZWmoBN,SRwQXyLp5KvjgNWFA,Gam48f8HbgbBdzxgi,2021-01-20T23:41:43Z,/experiment/tangram_D.png,blue,blueD,Preist holding a book,true,,,,,,,,,,,,,,,,blue
