_id,index,stageIds,gameId,createdAt,data.target,data.numTrials,data.trialNum,data.numPartners,data.partnerNum,data.repNum,data.chat,data.room0data,data.room1data,data.room0response,data.room0correct,data.room1response,data.room1correct
ZLgDjahYovCeiXrX4,40,PBC5jsGot9yAdrRgm,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_C.png""}",16,8,3,2,2,,,,,,,
pZagtXwPKrxSuGCjN,41,Ekoe6BKQnfqCxu4os,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_B.png""}",16,9,3,2,2,,,,,,,
Z4Jk45fAzCgJJX2o4,42,HbYJ3jkTHwetz97Rk,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_D.png""}",16,10,3,2,2,,,,,,,
dYwfb6kpSisvatYpw,43,grCBPgktTsDaAwY9y,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_A.png""}",16,11,3,2,2,,,,,,,
xJXaJsNBWWpF8qmwy,44,mQLa2kW2jwMJymkrq,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_B.png""}",16,12,3,2,3,,,,,,,
yemm9zbXNDX4wF4Wx,45,d2CbXfcmLLpHtYvhZ,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_A.png""}",16,13,3,2,3,,,,,,,
zbYDTkrWz9ZaagvsY,46,9Z5b48w7RiEhqvidv,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_B.png"",""room1"":""/experiment/tangram_D.png""}",16,14,3,2,3,,,,,,,
Qt5cgXWHCsPxBhzbp,47,2E8sx3DF6dHhiYHaP,yarQRry7J5QYnmF9d,2021-01-19T02:34:11Z,"{""room0"":""/experiment/tangram_C.png"",""room1"":""/experiment/tangram_C.png""}",16,15,3,2,3,,,,,,,
8HNMLYMJHSsCFEFqG,0,5rLEAG2ao5jNDFvEu,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_A.png"",""room1"":""/experiment/tangram_C.png""}",16,0,3,0,0,"{""text"":""It looks like a person about to take a step forward with a box-shaped backpack"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""hi"",""playerId"":""h9yE9SAP59evsbTq3"",""role"":""listener""},{""text"":""Interesting way to put it!"",""playerId"":""vG7KxAxGB5BaXzjiK"",""role"":""listener""}","{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":""/experiment/tangram_A.png"",""room_correct"":true}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
EEHn6Rtt2395HfyfM,1,6Wpa8caohehLASNcR,pSSWgp47YCcaAuDB7,2021-01-19T02:37:43Z,"{""room0"":""/experiment/tangram_D.png"",""room1"":""/experiment/tangram_D.png""}",16,1,3,0,0,"{""text"":""it looks like someone is begging for water by placing their hands in the shape of a bowl"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""you have to write"",""playerId"":""h9yE9SAP59evsbTq3"",""role"":""listener""},{""text"":""nice!"",""playerId"":""LdE7WMvojagjxzutR"",""role"":""speaker""},{""text"":""what figure it is"",""playerId"":""h9yE9SAP59evsbTq3"",""role"":""listener""},{""text"":""Likewise!"",""playerId"":""vG7KxAxGB5BaXzjiK"",""role"":""listener""},{""text"":""cmon"",""playerId"":""h9yE9SAP59evsbTq3"",""role"":""listener""}","{""room_num"":0,""room_members"":[""LdE7WMvojagjxzutR"",""vG7KxAxGB5BaXzjiK""],""room_clicked"":""/experiment/tangram_D.png"",""room_correct"":true}","{""room_num"":1,""room_members"":[""fqG8WAwqvp5mQ7xZg"",""h9yE9SAP59evsbTq3""],""room_clicked"":false,""room_correct"":false}",,,,
